UUID, meanHeading, class, timestamp 
903d185fccf839df,212.89800055339697,undefined,1496077706656
903d185fccf839df,212.29510672884777,undefined,1496077706813
903d185fccf839df,206.301803614225,undefined,1496077707609
903d185fccf839df,205.46616239160304,undefined,1496077707811
903d185fccf839df,205.580246034032,undefined,1496077708589
903d185fccf839df,205.2669032867812,undefined,1496077708828
903d185fccf839df,205.51429145707357,undefined,1496077709589
903d185fccf839df,205.88322136090815,undefined,1496077709805
903d185fccf839df,206.5900628767732,undefined,1496077710610
903d185fccf839df,207.62790505574552,undefined,1496077710827
903d185fccf839df,212.44775057148004,undefined,1496077711591
903d185fccf839df,214.09902200344004,undefined,1496077711813
903d185fccf839df,220.24584634425,undefined,1496077712591
903d185fccf839df,221.56689822567972,undefined,1496077712820
903d185fccf839df,229.4010286646186,undefined,1496077713607
903d185fccf839df,230.35851108513893,undefined,1496077713814
903d185fccf839df,238.25193017371964,undefined,1496077714596
903d185fccf839df,241.414183103401,undefined,1496077714811
903d185fccf839df,250.75489047804552,undefined,1496077715588
903d185fccf839df,252.74784405461787,undefined,1496077715810
903d185fccf839df,259.47698146261956,undefined,1496077716616
903d185fccf839df,260.8959189746113,undefined,1496077716809
903d185fccf839df,268.22254468856875,undefined,1496077717612
903d185fccf839df,269.2546927323771,undefined,1496077717888
903d185fccf839df,271.63787107187443,undefined,1496077718584
903d185fccf839df,271.61079573376963,undefined,1496077718812
903d185fccf839df,271.83953355716267,undefined,1496077719625
903d185fccf839df,271.83614794836325,undefined,1496077719805
903d185fccf839df,271.27077519503155,undefined,1496077720595
903d185fccf839df,271.08099849376293,undefined,1496077720806
903d185fccf839df,270.80981633180113,undefined,1496077721595
903d185fccf839df,270.9078076450039,undefined,1496077721825
903d185fccf839df,271.9977883508993,undefined,1496077722624
903d185fccf839df,272.1844317506158,undefined,1496077722840
903d185fccf839df,272.7630737530681,undefined,1496077723602
903d185fccf839df,272.86622657135905,undefined,1496077723820
903d185fccf839df,273.51363802343104,undefined,1496077724603
903d185fccf839df,273.561884030531,undefined,1496077724825
903d185fccf839df,274.20205082787186,undefined,1496077725610
903d185fccf839df,274.4629569724086,undefined,1496077725820
903d185fccf839df,275.1269948558635,undefined,1496077726590
903d185fccf839df,276.2081655270856,undefined,1496077726821
903d185fccf839df,279.27725125433307,undefined,1496077727602
903d185fccf839df,279.66784390921805,undefined,1496077727807
903d185fccf839df,281.37862321829607,undefined,1496077728614
903d185fccf839df,281.5283435998579,undefined,1496077728818
903d185fccf839df,282.17361430433573,undefined,1496077729595
903d185fccf839df,282.49359048840995,undefined,1496077729832
903d185fccf839df,281.1499105047633,undefined,1496077730599
903d185fccf839df,280.94997818697794,undefined,1496077730809
903d185fccf839df,278.89611721220996,undefined,1496077731626
903d185fccf839df,278.42460429293664,undefined,1496077731820
903d185fccf839df,274.8816000146886,undefined,1496077732595
903d185fccf839df,273.8882902542765,undefined,1496077732830
903d185fccf839df,270.0666209044786,undefined,1496077733603
903d185fccf839df,268.9610253031071,undefined,1496077733825
903d185fccf839df,264.98883863939875,undefined,1496077734588
903d185fccf839df,264.2568904271083,undefined,1496077734827
