UUID, meanHeading, class, timestamp 
903d185fccf839df,345.71286123528347,undefined,1495702698589
903d185fccf839df,353.2340714731453,undefined,1495702699581
903d185fccf839df,355.0884997463259,undefined,1495702700595
903d185fccf839df,355.8345096292761,undefined,1495702701578
903d185fccf839df,358.07893833521587,undefined,1495702702589
903d185fccf839df,359.84173627059255,undefined,1495702703590
903d185fccf839df,361.541812612144,undefined,1495702704559
903d185fccf839df,366.2650270754852,undefined,1495702705593
903d185fccf839df,364.3606195334115,undefined,1495702706576
903d185fccf839df,361.74161351776115,undefined,1495702707580
903d185fccf839df,361.10931788344976,undefined,1495702708570
903d185fccf839df,362.1585827888181,undefined,1495702709575
903d185fccf839df,356.22815610199825,undefined,1495702710584
903d185fccf839df,357.67523565129574,undefined,1495702711598
903d185fccf839df,363.314779627286,undefined,1495702712570
903d185fccf839df,363.88478167385017,undefined,1495702713558
903d185fccf839df,358.53839946271034,undefined,1495702715560
903d185fccf839df,358.4360590776966,undefined,1495702717555
903d185fccf839df,358.4788426222025,undefined,1495702718552
903d185fccf839df,358.5769000758114,undefined,1495702719538
903d185fccf839df,358.69491694875495,undefined,1495702720539
903d185fccf839df,358.79175975795005,undefined,1495702721552
903d185fccf839df,358.8368287298128,undefined,1495702722621
903d185fccf839df,359.0162351535218,undefined,1495702724555
903d185fccf839df,359.1346970090777,undefined,1495702725556
903d185fccf839df,359.23894594470465,undefined,1495702726552
903d185fccf839df,359.353399624079,undefined,1495702727543
903d185fccf839df,359.4517520507196,undefined,1495702728539
903d185fccf839df,359.58893794825957,undefined,1495702729537
903d185fccf839df,359.71375489263625,undefined,1495702729607
903d185fccf839df,366.3016002613284,undefined,1495702730614
903d185fccf839df,14.471221839186398,undefined,1495702731591
903d185fccf839df,22.35428101319978,undefined,1495702732583
903d185fccf839df,27.764059543087722,undefined,1495702733593
903d185fccf839df,27.366953476570412,undefined,1495702734585
903d185fccf839df,27.54012986097916,undefined,1495702735587
903d185fccf839df,29.09190277180458,undefined,1495702736606
903d185fccf839df,31.55091491346173,undefined,1495702737585
903d185fccf839df,32.52724493976309,undefined,1495702738574
903d185fccf839df,34.39224430594641,undefined,1495702739601
903d185fccf839df,33.353229168873,undefined,1495702740586
903d185fccf839df,32.16825156073564,undefined,1495702741576
903d185fccf839df,28.374834615416255,undefined,1495702742594
903d185fccf839df,24.23827047896253,undefined,1495702743575
903d185fccf839df,21.432895019459455,undefined,1495702744575
903d185fccf839df,21.210934797922622,undefined,1495702745594
903d185fccf839df,23.45305734421312,undefined,1495702746571
903d185fccf839df,27.341253346070012,undefined,1495702747566
903d185fccf839df,33.925455701135874,undefined,1495702748576
903d185fccf839df,37.273816962050205,undefined,1495702749581
903d185fccf839df,40.06253514802885,undefined,1495702750570
903d185fccf839df,42.63823233736772,undefined,1495702751579
903d185fccf839df,46.04872886718834,undefined,1495702752578
903d185fccf839df,49.03580683951548,undefined,1495702753576
903d185fccf839df,51.3220448868481,undefined,1495702754575
903d185fccf839df,54.90009667572336,undefined,1495702755566
903d185fccf839df,72.73332279262006,undefined,1495702756569
903d185fccf839df,140.24142917619028,undefined,1495702757590
903d185fccf839df,221.0410708976616,undefined,1495702758574
903d185fccf839df,240.6780331888512,undefined,1495702759577
903d185fccf839df,248.38683312652898,undefined,1495702760701
903d185fccf839df,254.30056102691162,undefined,1495702761575
903d185fccf839df,265.0962520187704,undefined,1495702762570
903d185fccf839df,276.4881749375345,undefined,1495702763603
903d185fccf839df,282.83132019540693,undefined,1495702764572
903d185fccf839df,284.6085921009213,undefined,1495702765571
903d185fccf839df,280.00164828429683,undefined,1495702766572
903d185fccf839df,278.3111446621733,undefined,1495702767569
903d185fccf839df,280.031753490409,undefined,1495702768582
903d185fccf839df,279.29723755404103,undefined,1495702769578
903d185fccf839df,278.9063827020635,undefined,1495702770563
903d185fccf839df,277.32518761412456,undefined,1495702771563
903d185fccf839df,275.52183016804565,undefined,1495702772595
903d185fccf839df,272.52174155556304,undefined,1495702773857
903d185fccf839df,276.0221348123207,undefined,1495702774569
903d185fccf839df,288.69070698983774,undefined,1495702775612
903d185fccf839df,320.86115046942945,undefined,1495702776570
903d185fccf839df,357.4775137778075,undefined,1495702777576
903d185fccf839df,357.8855300135209,undefined,1495702778572
903d185fccf839df,355.5775839904544,undefined,1495702779576
903d185fccf839df,361.79912065070783,undefined,1495702780573
903d185fccf839df,362.192769336929,undefined,1495702781567
903d185fccf839df,349.35080938404724,undefined,1495702782565
903d185fccf839df,334.57557298743734,undefined,1495702783576
903d185fccf839df,321.82470131208333,undefined,1495702784569
903d185fccf839df,315.075444743177,undefined,1495702785574
903d185fccf839df,320.738920749702,undefined,1495702786567
903d185fccf839df,333.88548797619296,undefined,1495702787587
903d185fccf839df,327.90935809320393,undefined,1495702788569
903d185fccf839df,279.01626159778255,undefined,1495702789573
903d185fccf839df,189.3338603613943,undefined,1495702790580
903d185fccf839df,107.17531889170212,undefined,1495702791577
903d185fccf839df,28.814861681287166,undefined,1495702792578
903d185fccf839df,333.2653649597865,undefined,1495702793569
903d185fccf839df,290.12778135319166,undefined,1495702794570
903d185fccf839df,274.5171820484744,undefined,1495702795571
903d185fccf839df,265.83646795485726,undefined,1495702796577
903d185fccf839df,265.05059405621535,undefined,1495702797580
903d185fccf839df,263.97210313531207,undefined,1495702798577
903d185fccf839df,260.04576760149735,undefined,1495702799580
903d185fccf839df,256.4128895449226,undefined,1495702800585
903d185fccf839df,259.7479363785855,undefined,1495702801571
903d185fccf839df,271.6731933779323,undefined,1495702802566
903d185fccf839df,275.75030438772035,undefined,1495702803588
903d185fccf839df,273.1703932083957,undefined,1495702804570
903d185fccf839df,268.16467782893267,undefined,1495702805574
903d185fccf839df,264.9779421541632,undefined,1495702806568
903d185fccf839df,263.13953910664543,undefined,1495702807568
903d185fccf839df,260.8932835150618,undefined,1495702808570
903d185fccf839df,260.7295369865971,undefined,1495702809577
903d185fccf839df,261.5421286647367,undefined,1495702810570
903d185fccf839df,264.15383274241947,undefined,1495702811587
903d185fccf839df,267.7787807277191,undefined,1495702812562
903d185fccf839df,271.762215137347,undefined,1495702813578
903d185fccf839df,285.22800226515915,undefined,1495702814577
903d185fccf839df,302.3054244890035,undefined,1495702815576
903d185fccf839df,309.2678210716672,undefined,1495702816571
903d185fccf839df,313.4551963796692,undefined,1495702817707
903d185fccf839df,322.70136927884823,undefined,1495702818567
903d185fccf839df,339.2770615284284,undefined,1495702819571
903d185fccf839df,351.9272372969628,undefined,1495702820568
903d185fccf839df,361.5762723444819,undefined,1495702821572
903d185fccf839df,361.81504931500507,undefined,1495702822579
903d185fccf839df,331.55112705614056,undefined,1495702823585
903d185fccf839df,281.6054401297665,undefined,1495702824575
903d185fccf839df,264.81660281060715,undefined,1495702825570
903d185fccf839df,277.118029362401,undefined,1495702826574
903d185fccf839df,297.04199297791064,undefined,1495702827573
903d185fccf839df,308.725891279894,undefined,1495702828580
903d185fccf839df,313.5176755472276,undefined,1495702829579
903d185fccf839df,318.7889555309413,undefined,1495702830571
903d185fccf839df,328.98784298973567,undefined,1495702831575
903d185fccf839df,346.3685967365033,undefined,1495702832577
903d185fccf839df,358.4522027632196,undefined,1495702833791
903d185fccf839df,363.58420652486757,undefined,1495702834572
903d185fccf839df,369.2001000078093,undefined,1495702835576
903d185fccf839df,13.498698580797743,undefined,1495702836564
903d185fccf839df,19.504152229757494,undefined,1495702837564
903d185fccf839df,14.908852551049172,undefined,1495702838567
903d185fccf839df,361.8612248644176,undefined,1495702839564
903d185fccf839df,342.4833779168165,undefined,1495702840566
903d185fccf839df,310.6583703167065,undefined,1495702841570
903d185fccf839df,268.2782247723717,undefined,1495702842577
903d185fccf839df,231.9274398054677,undefined,1495702843569
903d185fccf839df,205.31583507825061,undefined,1495702844578
903d185fccf839df,193.08606082499503,undefined,1495702845569
903d185fccf839df,180.01476309393894,undefined,1495702846571
903d185fccf839df,154.22543125509597,undefined,1495702847584
903d185fccf839df,111.62807328922825,undefined,1495702848570
903d185fccf839df,49.11557598718605,undefined,1495702849571
903d185fccf839df,265.3541887389255,undefined,1495702850573
903d185fccf839df,220.00140169481162,undefined,1495702851587
903d185fccf839df,86.77581501375789,undefined,1495702852567
903d185fccf839df,61.45101800663642,undefined,1495702853581
903d185fccf839df,43.05544441526994,undefined,1495702854578
903d185fccf839df,15.022431187884772,undefined,1495702855579
903d185fccf839df,329.53931070792873,undefined,1495702856574
903d185fccf839df,296.6565535237941,undefined,1495702857813
903d185fccf839df,290.97484540081825,undefined,1495702858581
903d185fccf839df,289.577501140121,undefined,1495702859585
903d185fccf839df,271.98803057586247,undefined,1495702860571
903d185fccf839df,243.62826386708684,undefined,1495702861576
903d185fccf839df,227.10041480728134,undefined,1495702862569
903d185fccf839df,215.3841793867385,undefined,1495702863579
903d185fccf839df,197.58305897319588,undefined,1495702864576
903d185fccf839df,193.64857123450855,undefined,1495702865583
903d185fccf839df,195.0997586799862,undefined,1495702866580
903d185fccf839df,207.86081594002422,undefined,1495702867572
903d185fccf839df,225.78060542407172,undefined,1495702869541
903d185fccf839df,226.2704657448793,undefined,1495702869598
903d185fccf839df,233.0579381513431,undefined,1495702870574
903d185fccf839df,235.0393554764299,undefined,1495702871580
903d185fccf839df,237.59371691607976,undefined,1495702872570
903d185fccf839df,245.18624444470504,undefined,1495702873569
903d185fccf839df,246.62715736765233,undefined,1495702874573
903d185fccf839df,254.03177536134757,undefined,1495702875569
903d185fccf839df,281.23949877891636,undefined,1495702876571
903d185fccf839df,368.6218569814976,undefined,1495702877578
903d185fccf839df,81.41066191970467,undefined,1495702878570
903d185fccf839df,108.30859467285548,undefined,1495702879581
903d185fccf839df,127.30700622387751,undefined,1495702880570
