UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-1.0395922997600435,-0.6808277878924734,-0.3946961438116447,-0.7059512619585968,-1.3915531549322835,-1.3877291980406394,1.7831628428427209,-1.026297758700435,-0.15069948419032467,-0.7291396344308639,-0.04280466476441597,-0.12466102841790717,-0.9653799019607844,-0.7187859802769927,-0.8170744127435646,-0.28172137175597634,-1.0603404172564368,-0.45599105912953275,-0.8769524975459351,-0.2987798622266771,-0.6742837462544137,-0.4920403210459077,-0.6496980598264489,-0.4367558594363948,undefined,1495046630723
903d185fccf839df,-0.9744495971067313,-0.520866083992426,-0.6148102549940374,-0.5730471518763306,-1.4755422977152322,-1.2408604794596811,1.724667757375396,-1.0113539767798652,-0.28524818386107426,-0.7114504563781977,0.02135504908210568,-0.11298300720172473,-0.9653799019607844,-0.7280443076898425,-0.8244428602603112,-0.1483613776328532,-0.9858287061888784,-0.49425859496380126,-0.8956411345684763,0.2556954190580873,-0.5726254725140407,-0.3885291710740978,-0.8791085623192437,-0.6290389599262741,undefined,1495046631173
903d185fccf839df,-0.8136718561075981,-0.3638393966270008,-0.13757816797150846,-0.23664428073507787,-1.2196791472596848,-1.4585147796129148,1.7937290500214398,-0.9464780797617884,-0.25416099688497673,-0.79301189473639,0.06419178523294325,-0.1309166982879937,-0.7173225824420678,-0.6586067096349489,-0.7939164769036967,0.3931615743362125,-0.8674118548828759,-0.4951603951865197,-0.8088393114797444,0.7409103092816762,-0.46161644866709317,-0.4158757808181122,-0.7324083063476654,-0.5738378212344958,undefined,1495046632233
903d185fccf839df,-0.6196298563357538,-0.27050389501373084,0.21269065703638187,-0.053932001441604066,-1.0522353498679187,-1.5173214121525382,1.885253821550381,-0.41707020750551344,-0.47814957156348625,-0.679708723025959,0.031097070234077356,-0.03985046908208635,-0.7782489416221035,-0.5613941552430552,-0.7844427765475902,0.26384272877471754,-0.9056757973429973,-0.5276684684735597,-0.7905577800987121,0.8464445224754217,-0.4468989864265354,-0.43021498560686333,-0.7802249251084209,-0.5686737319604116,undefined,1495046632684
903d185fccf839df,-0.6286389082687465,-0.29780015088236006,0.8283714713657906,0.619613653401968,-1.0847687009486084,-1.574579539807755,1.9177556490490137,-0.3055442009893906,-0.3924241311055755,-0.7031650097088903,-0.1097273162022132,0.1170644053688667,-0.7543135862299466,-0.5623200320169737,-0.7128637677242633,0.45580040870378513,-0.9371011111988048,-0.4268998209134371,-0.7416850547710272,0.5507103796772621,-0.4288185638354314,-0.45724365147936796,-0.7334720894191409,-0.7001150255470877,undefined,1495046633727
903d185fccf839df,-0.5364689204211698,-0.3092469433457271,0.8290093551088433,0.5891636126129749,-1.052274451761252,-1.574838859630163,1.9123889964431589,-0.34014766664522506,-0.4224686183703118,-0.5933844788996966,-0.0757243597638349,0.1340233256244328,-0.45620961452762926,-0.5558391795165846,-0.7423374915311458,0.3931614895420479,-0.9433011461327784,-0.44504614035209994,-0.7363136575790281,0.5690463724536752,-0.4333032060406872,-0.47231380886481633,-0.7170629701293784,-0.7166094689759908,undefined,1495046634209
903d185fccf839df,-0.5323108805265225,-0.183625631449777,0.846235774088559,0.6640374286675241,-1.0155026494337045,-1.6150791851962898,1.9166155004850418,-0.3593992613582233,-0.4353076010416663,-0.5806291294503575,-0.08438464873704662,0.11578262540928536,0.04425690730837791,-0.6743458895481879,-0.7181269182282474,0.1890802791339312,-0.9554066506991826,-0.4625305447316178,-0.7134441780552195,0.4985096452895839,-0.4549322643023503,-0.4781051827605071,-0.6999097890326786,-0.6439947514368211,undefined,1495046635265
903d185fccf839df,-0.5281528406318752,-0.14723062849627014,0.8647384688282791,0.7102344898187636,-1.0068931650687232,-1.634942713604095,1.891044897465208,-0.5525659438176755,-0.40360883051815166,-0.674488107430961,-0.0965168566254307,0.11220584776232805,0.09212761809269164,-0.691010920333796,-0.7476006641218313,0.20322456761448437,-0.9556521712984724,-0.4787032994657236,-0.7257925324305347,0.5112402200821027,-0.4654075394176553,-0.4770938575730222,-0.6984249240431638,-0.6400289058323896,undefined,1495046635671
903d185fccf839df,-0.4505360959317931,-0.19008278181511612,0.8647384688282791,0.7211909161116984,-0.8844059440021991,-1.6162621459888886,1.9100155587966126,-0.37779331389617865,-0.43300356543652413,-0.6828494522200785,-0.04365720797484532,0.12822823540607803,0.013793727718360084,-0.6873075686474168,-0.7433901142697089,0.09411171924362406,-0.9454982079845686,-0.4975453442511707,-0.7462078481635528,0.5261595732296541,-0.4806776191770405,-0.4686597174685398,-0.6776860978261853,-0.6017769890009933,undefined,1495046636725
903d185fccf839df,-0.39925346587617133,-0.22060756171742826,0.8647384688282791,0.7211909161116984,-0.7876769910712408,-1.6262271793643357,1.9382242292047007,-0.18383902616287615,-0.516675870515116,-0.6231743246677455,-0.032334482558201455,0.11974587908951421,-0.504080325311943,-0.6799009429793057,-0.8128638923403774,0.14058559192330405,-0.9057251245986785,-0.48180532173564733,-0.7584080520223795,0.4343880665231915,-0.4926994945110077,-0.46642870111332607,-0.6975137295430919,-0.5784001683151704,undefined,1495046637174
903d185fccf839df,-0.38816539399585503,-0.29691956992919327,0.8972771472846535,0.7649440022963375,-0.7121093899018808,-1.6142843079789275,1.9468100773684613,-0.09140907356103474,-0.5281235085287789,-0.6562991257574509,0.004121118930239029,0.0985423167393988,-0.8565828319964349,-0.6400900548092494,-0.8191796876696258,0.2294923583093651,-0.8379622058815422,-0.5024946927493971,-0.764710350632248,0.44361360849206605,-0.4990202132328881,-0.47883250191625004,-0.6958720158760733,-0.5475593563685924,undefined,1495046638209
903d185fccf839df,-0.34104094185651945,-0.2769611184490508,0.9132272905043649,0.7926382737363857,-0.7231632234446578,-1.5961399571227484,1.9467670371027077,-0.059829729515391054,-0.5144301796764253,-0.5570417981084276,0.03433377094918883,-0.00031467345061341834,-0.8565828319964349,-0.6113892087475561,-0.8244428455358437,0.22949233004464356,-0.82631133598841,-0.5059955919630234,-0.7574234145502206,0.41321208607259335,-0.5038044398554662,-0.48003526240950245,-0.6790160125001542,-0.5519154460713898,undefined,1495046638663
903d185fccf839df,-0.18442116311486156,-0.2878208959142965,0.9795802878347445,0.8994255351523336,-0.5997477651642448,-1.5923211233523054,1.9132273464562626,-0.21996579347369927,-0.4931554779371495,-0.531271723402193,0.02601928582139976,-0.049000564625337584,-0.8565828319964349,-0.6132408716399712,-0.798126997306884,0.26788390560106723,-0.8476040358381738,-0.5053617853500512,-0.74704248960241,0.4289827408099912,-0.4907074500007779,-0.49694297158750916,-0.7085181945005414,-0.5545310419729108,undefined,1495046639725
903d185fccf839df,-0.015327471721720323,-0.3133560483325768,1.0427433581759615,0.9672876820917188,-0.5000506430703012,-1.6049354070662147,1.900036717122168,-0.29897021208757785,-0.48675857015408613,-0.6054012004213052,0.04141726477992906,-0.04664463127967235,-0.9088054255793226,-0.570652482655905,-0.7728638159898901,0.2880900723800311,-0.8319665406035257,-0.5109669760807485,-0.7432597622342744,0.5262825047407771,-0.4727736652524777,-0.50211807412138,-0.6937384390521321,-0.5325226410172405,undefined,1495046640266
903d185fccf839df,-0.009783418528857312,-0.35796924664578694,1.2099021907961522,1.1903851959497977,-0.374760570087404,-1.6332519677226263,1.9110398258130417,-0.2546347837208502,-0.436364789095621,-0.6799038753946923,0.08347004771410384,-0.03604186075035297,-0.9523242535650625,-0.5762075360870229,-0.7876006815744483,0.2880900723800311,-0.8206873769358043,-0.5164939905985395,-0.7570991502056316,0.5138263680985249,-0.4842713589751436,-0.50232911780095,-0.6835742089240915,-0.5339686247070063,undefined,1495046641249
903d185fccf839df,0.0927817035607473,-0.3556211866533014,1.3228307397788834,1.3086892818911713,-0.3318074992867677,-1.6438732982008872,1.9038446782988971,-0.2928517159584192,-0.500161162443858,-0.4952029703910355,0.07247525480869658,-0.008991527422518518,-0.9436204879679144,-0.5678750336449934,-0.8318112783281227,0.2577808787410284,-0.8006269819752705,-0.5217279486389733,-0.7597443948676402,0.5022177576560466,-0.4897176838474562,-0.5025863875089667,-0.6706412566300427,-0.5330038983351343,undefined,1495046641681
903d185fccf839df,0.16762655968603685,-0.33977166479205456,1.323468369384987,1.3371763017533342,-0.13508326004562154,-1.6285352583123527,1.872010873327005,-0.4136378355197053,-0.45611903792864933,-0.43798605996221585,0.05737197677744881,0.024736589558507712,-0.9653799019607844,-0.5752816463623299,-0.8918113339559833,0.22949233004464356,-0.7960101406013375,-0.5507498463371048,-0.7749384313345238,0.470996246164529,-0.5149283685072054,-0.4883181342420375,-0.6588245200201732,-0.5210228552037215,undefined,1495046642709
