timestamp, lastAccessTime, proximity, UUID 
1497357604215,1497357604329,far,,903d185fccf839df
1497357604215,1497357604445,far,,903d185fccf839df
1497357604215,1497357604532,far,,903d185fccf839df
1497357604215,1497357604630,far,,903d185fccf839df
1497357604215,1497357604671,far,,903d185fccf839df
1497357604215,1497357604697,far,,903d185fccf839df
1497357604215,1497357604779,far,,903d185fccf839df
1497357604215,1497357604840,far,,903d185fccf839df
1497357604215,1497357604889,far,,903d185fccf839df
1497357604215,1497357604946,far,,903d185fccf839df
1497357604215,1497357604992,far,,903d185fccf839df
1497357604215,1497357605021,far,,903d185fccf839df
1497357604215,1497357605068,far,,903d185fccf839df
1497357604215,1497357605088,far,,903d185fccf839df
1497357604215,1497357605160,far,,903d185fccf839df
1497357604215,1497357605201,far,,903d185fccf839df
1497357604215,1497357605245,far,,903d185fccf839df
1497357604215,1497357605262,far,,903d185fccf839df
1497357604215,1497357605276,far,,903d185fccf839df
1497357604215,1497357605287,far,,903d185fccf839df
1497357604215,1497357605304,far,,903d185fccf839df
1497357604215,1497357605338,far,,903d185fccf839df
1497357604215,1497357605359,far,,903d185fccf839df
1497357604215,1497357605369,far,,903d185fccf839df
1497357604215,1497357605374,far,,903d185fccf839df
1497357604215,1497357605395,far,,903d185fccf839df
1497357604215,1497357605415,far,,903d185fccf839df
1497357604215,1497357605427,far,,903d185fccf839df
1497357604215,1497357605441,far,,903d185fccf839df
1497357604215,1497357605447,far,,903d185fccf839df
1497357604215,1497357605461,far,,903d185fccf839df
1497357604215,1497357605488,far,,903d185fccf839df
1497357604215,1497357605507,far,,903d185fccf839df
1497357604215,1497357605533,far,,903d185fccf839df
1497357604215,1497357605544,far,,903d185fccf839df
1497357604215,1497357605560,far,,903d185fccf839df
1497357604215,1497357605568,far,,903d185fccf839df
1497357604215,1497357605587,far,,903d185fccf839df
1497357604215,1497357605617,far,,903d185fccf839df
1497357604215,1497357605647,far,,903d185fccf839df
1497357604215,1497357605665,far,,903d185fccf839df
1497357604215,1497357605696,far,,903d185fccf839df
1497357604215,1497357605726,far,,903d185fccf839df
1497357604215,1497357605810,far,,903d185fccf839df
1497357604215,1497357605891,far,,903d185fccf839df
1497357604215,1497357605933,far,,903d185fccf839df
1497357604215,1497357605971,far,,903d185fccf839df
1497357604215,1497357605997,far,,903d185fccf839df
1497357604215,1497357606058,far,,903d185fccf839df
1497357604215,1497357606077,far,,903d185fccf839df
1497357604215,1497357606103,far,,903d185fccf839df
1497357604215,1497357606142,far,,903d185fccf839df
1497357604215,1497357606167,far,,903d185fccf839df
1497357604215,1497357606194,far,,903d185fccf839df
1497357604215,1497357606219,far,,903d185fccf839df
1497357604215,1497357606256,far,,903d185fccf839df
1497357604215,1497357606274,far,,903d185fccf839df
1497357604215,1497357606319,far,,903d185fccf839df
1497357604215,1497357606353,far,,903d185fccf839df
1497357604215,1497357606368,far,,903d185fccf839df
1497357604215,1497357606387,far,,903d185fccf839df
1497357604215,1497357606401,far,,903d185fccf839df
1497357604215,1497357606427,far,,903d185fccf839df
1497357604215,1497357606442,far,,903d185fccf839df
1497357604215,1497357606461,far,,903d185fccf839df
1497357604215,1497357606478,far,,903d185fccf839df
1497357604215,1497357606500,far,,903d185fccf839df
1497357604215,1497357606536,far,,903d185fccf839df
1497357604215,1497357606557,far,,903d185fccf839df
1497357604215,1497357606576,far,,903d185fccf839df
1497357604215,1497357606617,far,,903d185fccf839df
1497357604215,1497357606646,far,,903d185fccf839df
1497357604215,1497357606662,far,,903d185fccf839df
1497357604215,1497357606683,far,,903d185fccf839df
1497357604215,1497357606706,far,,903d185fccf839df
1497357604215,1497357606739,far,,903d185fccf839df
1497357604215,1497357606759,far,,903d185fccf839df
1497357604215,1497357606777,far,,903d185fccf839df
1497357604215,1497357606798,far,,903d185fccf839df
1497357604215,1497357606839,far,,903d185fccf839df
1497357604215,1497357606856,far,,903d185fccf839df
1497357604215,1497357606876,far,,903d185fccf839df
1497357604215,1497357606921,far,,903d185fccf839df
1497357604215,1497357606963,far,,903d185fccf839df
1497357604215,1497357606985,far,,903d185fccf839df
1497357604215,1497357607006,far,,903d185fccf839df
1497357604215,1497357607042,far,,903d185fccf839df
