timestamp, pressure, UUID 
1.49634E+12,956.8852539,903d185fccf839df
1.49634E+12,956.8930664,903d185fccf839df
1.49634E+12,956.894043,903d185fccf839df
1.49634E+12,956.8937988,903d185fccf839df
1.49634E+12,956.9055176,903d185fccf839df
1.49634E+12,956.9301758,903d185fccf839df
1.49634E+12,956.9404297,903d185fccf839df
1.49634E+12,956.9453125,903d185fccf839df
1.49634E+12,956.9428711,903d185fccf839df
1.49634E+12,956.956543,903d185fccf839df
1.49634E+12,956.9580078,903d185fccf839df
1.49634E+12,956.9631348,903d185fccf839df
1.49634E+12,956.9475098,903d185fccf839df
1.49634E+12,956.9306641,903d185fccf839df
1.49634E+12,956.935791,903d185fccf839df
1.49634E+12,956.9428711,903d185fccf839df
1.49634E+12,956.9370117,903d185fccf839df
1.49634E+12,956.9335938,903d185fccf839df
1.49634E+12,956.9399414,903d185fccf839df
1.49634E+12,956.9277344,903d185fccf839df
1.49634E+12,956.9350586,903d185fccf839df
1.49634E+12,956.940918,903d185fccf839df
1.49634E+12,956.9445801,903d185fccf839df
1.49634E+12,956.9367676,903d185fccf839df
1.49634E+12,956.9470215,903d185fccf839df
1.49634E+12,956.9504395,903d185fccf839df
1.49634E+12,956.9572754,903d185fccf839df
1.49634E+12,956.9550781,903d185fccf839df
1.49634E+12,956.9538574,903d185fccf839df
1.49634E+12,956.9538574,903d185fccf839df
1.49634E+12,956.949707,903d185fccf839df
1.49634E+12,956.9404297,903d185fccf839df
1.49634E+12,956.9433594,903d185fccf839df
1.49634E+12,956.9475098,903d185fccf839df
1.49634E+12,956.9416504,903d185fccf839df
1.49634E+12,956.9375,903d185fccf839df
1.49634E+12,956.9360352,903d185fccf839df
1.49634E+12,956.9304199,903d185fccf839df
1.49634E+12,956.9418945,903d185fccf839df
1.49634E+12,956.9421387,903d185fccf839df
1.49634E+12,956.9387207,903d185fccf839df
1.49634E+12,956.9438477,903d185fccf839df
1.49634E+12,956.9396973,903d185fccf839df
1.49634E+12,956.9477539,903d185fccf839df
1.49634E+12,956.9433594,903d185fccf839df
1.49634E+12,956.9555664,903d185fccf839df
1.49634E+12,956.9418945,903d185fccf839df
1.49634E+12,956.9482422,903d185fccf839df
1.49634E+12,956.9492188,903d185fccf839df
1.49634E+12,956.9453125,903d185fccf839df
1.49634E+12,956.939209,903d185fccf839df
1.49634E+12,956.942627,903d185fccf839df
1.49634E+12,956.9299316,903d185fccf839df
1.49634E+12,956.9291992,903d185fccf839df
1.49634E+12,956.9328613,903d185fccf839df
1.49634E+12,956.932373,903d185fccf839df
1.49634E+12,956.9370117,903d185fccf839df
1.49634E+12,956.9494629,903d185fccf839df
