timestamp, lastAccessTime, proximity, UUID 
1498671053067,1498671053234,far,,903d185fccf839df
1498671053067,1498671053371,far,,903d185fccf839df
1498671053067,1498671053441,far,,903d185fccf839df
1498671053067,1498671053463,far,,903d185fccf839df
1498671053067,1498671053531,far,,903d185fccf839df
1498671053067,1498671053567,far,,903d185fccf839df
1498671053067,1498671053660,far,,903d185fccf839df
1498671053067,1498671053742,far,,903d185fccf839df
1498671053067,1498671053775,far,,903d185fccf839df
1498671053067,1498671053836,far,,903d185fccf839df
1498671053067,1498671053869,far,,903d185fccf839df
1498671053067,1498671053935,far,,903d185fccf839df
1498671053067,1498671053971,far,,903d185fccf839df
1498671053067,1498671054021,far,,903d185fccf839df
1498671053067,1498671054049,far,,903d185fccf839df
1498671053067,1498671054077,far,,903d185fccf839df
1498671053067,1498671054122,far,,903d185fccf839df
1498671053067,1498671054149,far,,903d185fccf839df
1498671053067,1498671054178,far,,903d185fccf839df
1498671053067,1498671054242,far,,903d185fccf839df
1498671053067,1498671054261,far,,903d185fccf839df
1498671053067,1498671054292,far,,903d185fccf839df
1498671053067,1498671054307,far,,903d185fccf839df
1498671053067,1498671054334,far,,903d185fccf839df
1498671053067,1498671054352,far,,903d185fccf839df
1498671053067,1498671054387,far,,903d185fccf839df
1498671053067,1498671054423,far,,903d185fccf839df
1498671053067,1498671054443,far,,903d185fccf839df
1498671053067,1498671054462,far,,903d185fccf839df
1498671053067,1498671054503,far,,903d185fccf839df
1498671053067,1498671054526,far,,903d185fccf839df
1498671053067,1498671054548,far,,903d185fccf839df
1498671053067,1498671054562,far,,903d185fccf839df
1498671053067,1498671054587,far,,903d185fccf839df
1498671053067,1498671054722,far,,903d185fccf839df
1498671053067,1498671054751,far,,903d185fccf839df
1498671053067,1498671054787,far,,903d185fccf839df
1498671053067,1498671054820,far,,903d185fccf839df
1498671053067,1498671054847,far,,903d185fccf839df
1498671053067,1498671054869,far,,903d185fccf839df
1498671053067,1498671054892,far,,903d185fccf839df
1498671053067,1498671054910,far,,903d185fccf839df
1498671053067,1498671054933,far,,903d185fccf839df
1498671053067,1498671054956,far,,903d185fccf839df
1498671053067,1498671054975,far,,903d185fccf839df
1498671053067,1498671054998,far,,903d185fccf839df
1498671053067,1498671055024,far,,903d185fccf839df
1498671053067,1498671055045,far,,903d185fccf839df
1498671053067,1498671055064,far,,903d185fccf839df
1498671053067,1498671055115,far,,903d185fccf839df
1498671053067,1498671055142,far,,903d185fccf839df
1498671053067,1498671055164,far,,903d185fccf839df
1498671053067,1498671055194,far,,903d185fccf839df
1498671053067,1498671055224,far,,903d185fccf839df
1498671053067,1498671055252,far,,903d185fccf839df
1498671053067,1498671055285,far,,903d185fccf839df
1498671053067,1498671055399,far,,903d185fccf839df
1498671053067,1498671055487,far,,903d185fccf839df
1498671053067,1498671055570,far,,903d185fccf839df
1498671053067,1498671055641,far,,903d185fccf839df
1498671053067,1498671055662,far,,903d185fccf839df
1498671053067,1498671055691,far,,903d185fccf839df
1498671053067,1498671055711,far,,903d185fccf839df
1498671053067,1498671055742,far,,903d185fccf839df
1498671053067,1498671055770,far,,903d185fccf839df
1498671053067,1498671055800,far,,903d185fccf839df
1498671053067,1498671055819,far,,903d185fccf839df
1498671053067,1498671055849,far,,903d185fccf839df
1498671053067,1498671055869,far,,903d185fccf839df
1498671053067,1498671055901,far,,903d185fccf839df
1498671053067,1498671055922,far,,903d185fccf839df
1498671053067,1498671055939,far,,903d185fccf839df
1498671053067,1498671055965,far,,903d185fccf839df
1498671053067,1498671055992,far,,903d185fccf839df
1498671053067,1498671056011,far,,903d185fccf839df
1498671053067,1498671056039,far,,903d185fccf839df
1498671053067,1498671056059,far,,903d185fccf839df
1498671053067,1498671056090,far,,903d185fccf839df
