UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-0.5905235425678133,-0.7583138845564659,0.3594328895507448,0.43081280733078103,-0.8340216268128389,-1.4774483081825354,1.9088879121003504,-0.1025270382439938,-0.24054620497166054,-0.30965449249330834,-0.04938693301877541,-0.6968964250885232,-0.06671610405525846,-0.4891791470295737,-0.7791796407680737,-0.14836134936813167,-0.8092548436774861,-0.41356445486445215,-0.6241336273691924,0.09694018537528727,-0.44812691962180257,-0.027722812134098277,-0.6485404611731538,-0.7615407810004323,undefined,1495893966487
903d185fccf839df,-0.17887710992199857,-0.7131136127891498,1.4625549804349192,1.2827829195969482,-0.6335066201854497,-1.5419735291872645,1.8655247926485632,-0.3346583181771369,-0.5120325040995536,0.16733961225733068,-0.3859399612406652,-0.8904072830935115,1.3715811608734403,-0.348452365732019,-0.7686532955867028,0.29617242603273053,-0.6306128712754681,-0.2896114143102264,-0.7707720783262906,0.22826692113798,-0.4252667100031171,-0.11101279689235344,-0.46906114342777483,-0.6122617648770986,undefined,1495893967859
903d185fccf839df,-0.10541847412738316,-0.554032489842269,1.6756510997589849,1.684469204000059,-0.3774096493986385,-1.5743497388541803,1.7447470303719617,-1.079004050746773,-0.5407551565768137,-0.43989819879539743,-0.3544372330834963,-0.6059836024795504,2.3594585561497325,-0.41696408701299403,-0.9244429627897239,0.18301828777663434,-0.7385966735911864,-0.30411362401795927,-0.8631732113996858,0.13657500496551872,-0.48202809657459167,-0.24421427762077216,-0.516891484148386,-0.5532234072702886,undefined,1495893969370
903d185fccf839df,0.2327692537129967,-0.39436423498529766,1.6252478644428925,1.5697942514624317,-0.1141435504529032,-1.5723346404264884,1.8151647189017377,-0.5586949025265057,-0.362494100638796,0.06721956128112343,-0.17263357435592552,-0.34671241787920737,0.6317610851158646,-0.34011987624076395,-0.9707588050205245,0.16887405582552426,-0.7412693888786964,-0.29809566260302295,-0.9223562301947091,0.09267311622711369,-0.5030303152392868,-0.32641998713886633,-0.4948094860829022,-0.5157817986550934,undefined,1495893970858
903d185fccf839df,-0.01809936029651289,-0.24937129662537624,2.4048975844033293,2.224810087371059,0.0785198084057483,-1.6001651245246764,1.7924066386806992,-0.6994931620731454,-0.2629187830239258,-0.1732660146445006,-0.09777764079692569,-0.059003336374849065,-0.2864861853832442,-0.32993576270941755,-0.8823376409621106,0.3002136028590802,-0.6836073764456175,-0.2355142192280418,-0.8646473090981751,0.2147425049418375,-0.4402767252428126,-0.3489052768746862,-0.4395063350025063,-0.4857089910127349,undefined,1495893972376
903d185fccf839df,0.02763887151214853,-0.30337673490852857,2.462318811577749,2.3380572805073094,0.032491310939762985,-1.5678282972926416,1.7911338195656648,-0.668437235419804,-0.2999839598709092,-0.02473265158532336,0.06374710574088469,0.14814788380790142,-0.6476924576648841,-0.3530815423892184,-0.8865481834519993,0.24363664678991828,-0.7277743385249552,-0.26170575052669653,-0.8838544434635847,0.2124741936341996,-0.4584581238221316,-0.36623852563414505,-0.4829147611045639,-0.48223698087319883,undefined,1495893973871
903d185fccf839df,-0.19550933851140706,-0.3896680565443419,2.0163488731146404,1.9817877401515822,-0.210096851335899,-1.645345376803076,1.7447387849591511,-1.2078540733101173,-0.38665956780332944,-0.23097099385490627,-0.020252088680559832,0.012727715349664274,-0.8261196524064172,-0.36882069640090814,-0.9444430009649676,0.15675052534647516,-0.7057092430139459,-0.30407870949004756,-0.9410172026077123,0.17232437166173997,-0.5044196405080045,-0.45727601387774913,-0.4844802716567837,-0.4605410526064287,undefined,1495893975353
903d185fccf839df,-0.22184359117750635,-0.43369421063143826,1.9927423460196503,2.0081989021196684,-0.05511196581959295,-1.720221101072735,1.800727350981219,-0.9316002089640922,-0.47886575403228326,-0.17252443524510575,-0.15300388381010283,0.05594354441628489,-0.8696384803921569,-0.3836340772448758,-0.9107587346681963,0.07188487925732073,-0.7102590338862511,-0.32968913321758414,-0.9328379308335691,0.15156726687705027,-0.517917414552022,-0.43853951827062254,-0.5044591716933263,-0.4420506505314925,undefined,1495893976942
903d185fccf839df,-0.045819764282466875,-0.38379787733513565,1.926389221620796,2.0094730124120033,-0.08695648524305416,-1.8168728810736343,1.8406162444860197,-0.8253818330511983,-0.47518053182479547,-0.07905567918812376,-0.2688559245531448,0.029621544759811935,-0.5475991532976827,-0.3549332441339571,-0.865495507813725,0.07592614087783504,-0.6584765388850354,-0.2904755472295328,-0.8929561088670944,0.16262335078825774,-0.4861581326463938,-0.4374698274023071,-0.4802829155142979,-0.43806695390347605,undefined,1495893978354
903d185fccf839df,-0.0915582031235867,-0.4066915061038583,1.8415336566191711,1.8413153206936765,-0.18139975490413027,-1.86722870452954,1.8532656132877008,-0.875160524357517,-0.4873164247400096,-0.41498827262437454,-0.17565803528964022,0.14378929254747613,-0.6825075200534759,-0.3095673154835574,-0.9170745520841462,0.15270934852012544,-0.6254659548678905,-0.3422663608723943,-0.9150870216639073,0.26699401240771076,-0.4999626249615358,-0.43284421106872023,-0.4992561137848113,-0.46875744176098316,undefined,1495893979855
903d185fccf839df,0.06644738188382854,-0.34740288899562494,1.7317957970364506,1.8492354835681342,-0.35481660658861036,-1.8484480488495918,1.8596323737583187,-0.8316128836833736,-0.6381618059964661,-0.7632503422566475,-0.15708683065196563,0.07617260089327786,-0.8696384803921569,-0.3077157302957897,-0.9718114498457889,-0.05945458298207061,-0.6872979584983615,-0.3838738031859425,-0.9528208228380516,0.1475944654344563,-0.5505983012368448,-0.4138405570942511,-0.5717504488355659,-0.4779650306729845,undefined,1495893981349
903d185fccf839df,0.07753552277496428,-0.4295851348725809,1.6507682969039903,1.6200132914087435,-0.5151603389516172,-1.8379944235932042,1.8542018191306717,-0.9539829836341105,-0.5536335229899637,-0.6571279813177358,-0.12218743504332429,0.09199199631396511,-0.7695451760249554,-0.32623235921994015,-0.93075877284344,-0.02914547413723249,-0.6950959860921928,-0.43414471093311646,-0.935230840177861,0.13533730560552348,-0.5699146960446726,-0.42877578135270455,-0.5838340186252724,-0.4850642007039644,undefined,1495893982843
903d185fccf839df,-0.05136374846451042,-0.5223335922597371,1.432568599361604,1.3062633656885498,-0.7557119321713909,-1.8222580836384976,1.904265437949145,-0.6897441604686151,-0.5181188378767786,-1.0450221168637093,-0.039214571682531896,0.02334949080203749,-0.6955631684491979,-0.33919403831916917,-0.8676007827397862,-0.012980540714061396,-0.7634050862615048,-0.43957204470553457,-0.8944324358703174,0.2668862246223553,-0.5415842346454861,-0.4367683262917164,-0.5392765354137977,-0.4791196003607183,undefined,1495893984357
903d185fccf839df,-0.05690793967901236,-0.4988529923348816,1.2973097990438869,1.1752895821363556,-0.7022571654046631,-1.818680372607591,1.9405067935261084,-0.4344335413229412,-0.4977214207884548,-0.7873070242960125,-0.005670681098186603,0.04418276561966066,-0.7086188168449198,-0.49843743559009984,-0.8581270823836797,-0.08370181352849804,-0.7522009474503369,-0.5265233608867529,-0.8766535394693831,0.2448510492829556,-0.5741252360006562,-0.4665440745008982,-0.5995076090982238,-0.4635061396475443,undefined,1495893985897
903d185fccf839df,0.05951738440356924,-0.5082452323048238,1.4548988506965899,1.554468264218989,-0.46765069862344416,-1.8237185170580166,1.8788641448195926,-0.7168710027659653,-0.5384692406997357,-1.5555560199006766,0.08405338996129326,0.025980429645892623,-0.7260263480392157,-0.5160283042973028,-0.787600688936682,0.013287249980819343,-0.7091357339731551,-0.5329576319176699,-0.7930416506553323,0.40950662879600147,-0.5258743306376273,-0.4487174534037373,-0.46348386364420496,-0.39603051752620144,undefined,1495893987361
903d185fccf839df,-0.00008125643052757771,-0.4483695563564806,1.689048945595637,1.7662857426099239,-0.3076875357205143,-1.8055667547373766,1.8961156691588934,-0.5379433197799834,-0.42407016145231824,-0.8274893487182459,0.005675690798039795,-0.04070118007875582,-0.7738970588235294,-0.49751164947160326,-0.6633899910176695,0.25373970191467865,-0.6646390100180165,-0.511913260000183,-0.6745716486589857,0.5496324837169023,-0.45424840791375704,-0.41377655382661993,-0.4150221756830022,-0.3745264286487171,undefined,1495893988855
