UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-0.5919095903714388,-0.34211981246851714,0.9476796201898975,0.960285688931863,-1.2456192332810923,-1.7123177876438767,1.9640397920947252,-0.3520268624640891,-0.5042248764973003,-0.6948214035667535,-0.1320594394363409,4.157277893911337,1.3019510360962567,-0.3280839832600316,-0.7939165063526319,0.005204868063398404,-0.7673477415141867,-0.47298502670013437,-0.9150907302333987,0.06368470882505528,-0.5932468421309443,-0.49192495344459597,-0.6767891416392575,-0.39494510573826297,undefined,1498936383414
903d185fccf839df,-0.36598911221358355,-0.41197459724496227,1.2851877206933402,1.3360930056544298,-0.9371824818343468,-1.7680684308756565,1.9240922215931662,-0.5551017880482173,-0.47952456967607726,-0.39211035415947687,-0.24768586925515296,2.1856843394866363,0.6839836786987523,-0.2780889686078543,-0.9412851033003433,-0.1645261697324166,-0.7644635438692836,-0.3906538692151317,-0.959148659922396,-0.21381796344654613,-0.6113232251595729,-0.4816271335987569,-0.6390179286056155,-0.4734367494383772,undefined,1498936384821
903d185fccf839df,0.012392828748004459,-0.41256169992706065,1.3426086937308102,1.3436887586585637,-0.5750127974051803,-1.790463967893418,1.917906246322947,-0.5399232180851615,-0.499789893578671,-0.17224027725175411,-0.20386256049437532,1.414892351358891,-0.33000501336898397,-0.4021507579721245,-0.9812851207529603,-0.34638090759560997,-0.7816060974980071,-0.461318228463411,-0.9755580999445077,-0.3022280742920125,-0.670192798841312,-0.4801757063741488,-0.6370245350845133,-0.4762213528028503,undefined,1498936386333
903d185fccf839df,0.13852014240186714,-0.4565878247861647,1.3993915288882781,1.1855356518529407,-0.1848145964903415,-1.7885679677562973,1.8879395997152004,-0.47581693464630975,-0.4812737649112881,-0.8009327759147562,-0.18819319812773222,-0.149557553183748,-0.8609347147950089,-0.3577107578987415,-0.9033903239626186,-0.20089714274330467,-0.7606873722655693,-0.4421971784724167,-0.9175760190507182,-0.12076914910494714,-0.6114643399044173,-0.4079092472257851,-0.35929474370473424,-0.3708833745713526,undefined,1498936387862
903d185fccf839df,0.07337751738572676,-0.5299647287793304,0.7045976280664156,0.6222127636498835,-0.4086313673282719,-1.7928444517630477,1.9400176516531527,-0.21862421861856998,-0.33523551037210547,-1.1301395965686662,-0.1360976437203072,0.051527726036004154,-0.678155637254902,-0.36233990865439186,-0.9233903326889271,-0.23322685413367839,-0.774251283956623,-0.49715144362320846,-0.9230256646889227,-0.12862552267531108,-0.6410683184670589,-0.4232308784885229,-0.3937680260743,-0.3896126171624177,undefined,1498936389359
903d185fccf839df,0.015164889849845698,-0.48946069390895475,0.37602142478740785,0.3058451356911426,-0.5284185963226112,-1.8503021228375378,1.9777290710326196,-0.10357794050742304,-0.32762309728042616,-1.1651875220689778,-0.09447207701869871,0.04463623388919753,-0.673803754456328,-0.44381327018227223,-0.9507587815697485,-0.2514123618376636,-0.8308792780253191,-0.5556612352613433,-0.9411081613876745,-0.1396481312356888,-0.6757540148277972,-0.42775274404467156,-0.41188809053975334,-0.4195369668858158,undefined,1498936390834
903d185fccf839df,-0.15115684395768353,-0.5111802488394461,0.5706145952348038,0.5973273857104229,-0.8229598166601825,-1.8581563174787967,2.0366788135626237,0.047969519313272264,-0.36540912835063577,-0.317257869993972,-0.10563648301693264,0.043767028501150385,-0.9175091911764707,-0.5308416333381724,-0.9476008839051242,-0.22312385553836106,-0.8286232905087504,-0.6128350484831215,-0.9457190591192305,-0.06425734144215749,-0.6943910432574252,-0.4032982297811777,-0.39365980489578095,-0.40349058894086726,undefined,1498936392330
903d185fccf839df,-0.4616241678121094,-0.5446401621883499,1.0956981284642648,1.0618665252610644,-0.9363904840925419,-1.870373176929564,1.9163257365363395,-0.7840290219337936,-0.4456598313900748,-0.18669942366796757,-0.0917128763423995,0.008966828976650328,-0.9218610739750446,-0.5623199996400373,-0.9265482303535514,-0.11603159558067562,-0.8333909501653357,-0.6198392848436436,-0.9217060037867482,0.048043521776489344,-0.6742075554729329,-0.3633217168878952,-0.3714380398330494,-0.3967499802636937,undefined,1498936393824
903d185fccf839df,-0.2883722985026819,-0.632692499590535,1.7381756510147754,1.9722407394063135,-0.7505793640778221,-1.9206637816488623,1.8730259732738854,-1.055660479931552,-0.48922649087522335,-0.3908434255763664,-0.11110280727208127,0.0796116516613183,-0.499728442513369,-0.5910208457017305,-0.9381271909112515,-0.1281552673833324,-0.817328532790927,-0.6598064921092944,-0.9458030210760818,0.037356999667480385,-0.7044723268696117,-0.41346480091443905,-0.5358291719043285,-0.42407645076476425,undefined,1498936395315
903d185fccf839df,-0.1317525887718435,-0.6015806462341168,1.4931794993882366,1.4188632292889214,-0.3930382479412562,-1.91289576859908,1.9455639087292647,-0.41868129728498116,-0.5075869239866218,-0.5059555324624175,-0.09917781105984638,-0.10098969467467273,-0.31694936497326204,-0.5706525085574541,-0.9360219307096579,0.03955518199930776,-0.7739160613442531,-0.5920249964284682,-0.9393519615334244,0.21012755704978503,-0.6431878803255383,-0.38009716458717185,-0.47374193881577936,-0.32572363936227205,undefined,1498936396803
