timestamp, lastAccessTime, proximity, UUID 
1495339201335,1495339201446,far,,903d185fccf839df
1495339201335,1495339201580,far,,903d185fccf839df
1495339201335,1495339201618,far,,903d185fccf839df
1495339201335,1495339201678,far,,903d185fccf839df
1495339201335,1495339201735,far,,903d185fccf839df
1495339201335,1495339201782,far,,903d185fccf839df
1495339201335,1495339201802,far,,903d185fccf839df
1495339201335,1495339201817,far,,903d185fccf839df
1495339201335,1495339201854,far,,903d185fccf839df
1495339201335,1495339201879,far,,903d185fccf839df
1495339201335,1495339201892,far,,903d185fccf839df
1495339201335,1495339201915,far,,903d185fccf839df
1495339201335,1495339201948,far,,903d185fccf839df
1495339201335,1495339201967,far,,903d185fccf839df
1495339201335,1495339201979,far,,903d185fccf839df
1495339201335,1495339201990,far,,903d185fccf839df
1495339201335,1495339202019,far,,903d185fccf839df
1495339201335,1495339202033,far,,903d185fccf839df
1495339201335,1495339202068,far,,903d185fccf839df
1495339201335,1495339202082,far,,903d185fccf839df
1495339201335,1495339202106,far,,903d185fccf839df
1495339201335,1495339202124,far,,903d185fccf839df
1495339201335,1495339202178,far,,903d185fccf839df
1495339201335,1495339202190,far,,903d185fccf839df
1495339201335,1495339202200,far,,903d185fccf839df
1495339201335,1495339202252,far,,903d185fccf839df
1495339201335,1495339202327,far,,903d185fccf839df
1495339201335,1495339202386,far,,903d185fccf839df
1495339201335,1495339202414,far,,903d185fccf839df
1495339201335,1495339202462,far,,903d185fccf839df
1495339201335,1495339202485,far,,903d185fccf839df
1495339201335,1495339202500,far,,903d185fccf839df
1495339201335,1495339202525,far,,903d185fccf839df
1495339201335,1495339202587,far,,903d185fccf839df
1495339201335,1495339202607,far,,903d185fccf839df
1495339201335,1495339202626,far,,903d185fccf839df
1495339201335,1495339202671,far,,903d185fccf839df
1495339201335,1495339202700,far,,903d185fccf839df
1495339201335,1495339202724,far,,903d185fccf839df
1495339201335,1495339202766,far,,903d185fccf839df
1495339201335,1495339202786,far,,903d185fccf839df
1495339201335,1495339202812,far,,903d185fccf839df
1495339201335,1495339202864,far,,903d185fccf839df
1495339201335,1495339202927,far,,903d185fccf839df
1495339201335,1495339202979,far,,903d185fccf839df
1495339201335,1495339203007,far,,903d185fccf839df
1495339201335,1495339203039,far,,903d185fccf839df
1495339201335,1495339203090,far,,903d185fccf839df
1495339201335,1495339203109,far,,903d185fccf839df
1495339201335,1495339203159,far,,903d185fccf839df
1495339201335,1495339203209,far,,903d185fccf839df
1495339201335,1495339203232,far,,903d185fccf839df
1495339201335,1495339203279,far,,903d185fccf839df
1495339201335,1495339203294,far,,903d185fccf839df
1495339201335,1495339203324,far,,903d185fccf839df
1495339201335,1495339203387,far,,903d185fccf839df
1495339201335,1495339203413,far,,903d185fccf839df
1495339201335,1495339203486,far,,903d185fccf839df
1495339201335,1495339203523,far,,903d185fccf839df
1495339201335,1495339203553,far,,903d185fccf839df
1495339201335,1495339203570,far,,903d185fccf839df
1495339201335,1495339203587,far,,903d185fccf839df
1495339201335,1495339203602,far,,903d185fccf839df
1495339201335,1495339203619,far,,903d185fccf839df
1495339201335,1495339203663,far,,903d185fccf839df
1495339201335,1495339203678,far,,903d185fccf839df
1495339201335,1495339203694,far,,903d185fccf839df
1495339201335,1495339203727,far,,903d185fccf839df
1495339201335,1495339203764,far,,903d185fccf839df
1495339201335,1495339203789,far,,903d185fccf839df
1495339201335,1495339203803,far,,903d185fccf839df
1495339201335,1495339203827,far,,903d185fccf839df
1495339201335,1495339203865,far,,903d185fccf839df
1495339201335,1495339203883,far,,903d185fccf839df
1495339201335,1495339203899,far,,903d185fccf839df
1495339201335,1495339203913,far,,903d185fccf839df
1495339201335,1495339203946,far,,903d185fccf839df
1495339201335,1495339203969,far,,903d185fccf839df
1495339201335,1495339203989,far,,903d185fccf839df
1495339201335,1495339204010,far,,903d185fccf839df
1495339201335,1495339204036,far,,903d185fccf839df
1495339201335,1495339204069,far,,903d185fccf839df
1495339201335,1495339204083,far,,903d185fccf839df
1495339201335,1495339204112,far,,903d185fccf839df
1495339201335,1495339204144,far,,903d185fccf839df
1495339201335,1495339204177,far,,903d185fccf839df
1495339201335,1495339204197,far,,903d185fccf839df
1495339201335,1495339204215,far,,903d185fccf839df
1495339201335,1495339204245,far,,903d185fccf839df
1495339201335,1495339204267,far,,903d185fccf839df
1495339201335,1495339204284,far,,903d185fccf839df
1495339201335,1495339204302,far,,903d185fccf839df
1495339201335,1495339204323,far,,903d185fccf839df
1495339201335,1495339204378,far,,903d185fccf839df
1495339201335,1495339204394,far,,903d185fccf839df
1495339201335,1495339204408,far,,903d185fccf839df
1495339201335,1495339204423,far,,903d185fccf839df
1495339201335,1495339204450,far,,903d185fccf839df
1495339201335,1495339204462,far,,903d185fccf839df
1495339201335,1495339204481,far,,903d185fccf839df
1495339201335,1495339204487,far,,903d185fccf839df
1495339201335,1495339204502,far,,903d185fccf839df
1495339201335,1495339204513,far,,903d185fccf839df
1495339201335,1495339204547,far,,903d185fccf839df
1495339201335,1495339204562,far,,903d185fccf839df
1495339201335,1495339204580,far,,903d185fccf839df
1495339201335,1495339204602,far,,903d185fccf839df
1495339201335,1495339204624,far,,903d185fccf839df
1495339201335,1495339204656,far,,903d185fccf839df
1495339201335,1495339204673,far,,903d185fccf839df
1495339201335,1495339204692,far,,903d185fccf839df
1495339201335,1495339204708,far,,903d185fccf839df
1495339201335,1495339204729,far,,903d185fccf839df
1495339201335,1495339204759,far,,903d185fccf839df
1495339201335,1495339204775,far,,903d185fccf839df
1495339201335,1495339204791,far,,903d185fccf839df
1495339201335,1495339204806,far,,903d185fccf839df
1495339201335,1495339204823,far,,903d185fccf839df
1495339201335,1495339204849,far,,903d185fccf839df
1495339201335,1495339204862,far,,903d185fccf839df
1495339201335,1495339204879,far,,903d185fccf839df
1495339201335,1495339204905,far,,903d185fccf839df
1495339201335,1495339204932,far,,903d185fccf839df
1495339201335,1495339204964,far,,903d185fccf839df
1495339201335,1495339204982,far,,903d185fccf839df
1495339201335,1495339205001,far,,903d185fccf839df
1495339201335,1495339205015,far,,903d185fccf839df
1495339201335,1495339205052,far,,903d185fccf839df
1495339201335,1495339205071,far,,903d185fccf839df
1495339201335,1495339205086,far,,903d185fccf839df
1495339201335,1495339205103,far,,903d185fccf839df
1495339201335,1495339205123,far,,903d185fccf839df
1495339201335,1495339205158,far,,903d185fccf839df
1495339201335,1495339205176,far,,903d185fccf839df
1495339201335,1495339205196,far,,903d185fccf839df
1495339201335,1495339205228,far,,903d185fccf839df
1495339201335,1495339205259,far,,903d185fccf839df
1495339201335,1495339205273,far,,903d185fccf839df
1495339201335,1495339205300,far,,903d185fccf839df
1495339201335,1495339205319,far,,903d185fccf839df
1495339201335,1495339205362,far,,903d185fccf839df
1495339201335,1495339205386,far,,903d185fccf839df
1495339201335,1495339205405,far,,903d185fccf839df
1495339201335,1495339205426,far,,903d185fccf839df
1495339201335,1495339205570,far,,903d185fccf839df
1495339201335,1495339205680,far,,903d185fccf839df
1495339201335,1495339205714,far,,903d185fccf839df
1495339201335,1495339205772,far,,903d185fccf839df
1495339201335,1495339205795,far,,903d185fccf839df
1495339201335,1495339205831,far,,903d185fccf839df
1495339201335,1495339205913,far,,903d185fccf839df
1495339201335,1495339205960,far,,903d185fccf839df
1495339201335,1495339205984,far,,903d185fccf839df
1495339201335,1495339206006,far,,903d185fccf839df
1495339201335,1495339206032,far,,903d185fccf839df
1495339201335,1495339206062,far,,903d185fccf839df
1495339201335,1495339206072,far,,903d185fccf839df
1495339201335,1495339206087,far,,903d185fccf839df
1495339201335,1495339206110,far,,903d185fccf839df
1495339201335,1495339206134,far,,903d185fccf839df
1495339201335,1495339206166,far,,903d185fccf839df
1495339201335,1495339206182,far,,903d185fccf839df
1495339201335,1495339206195,far,,903d185fccf839df
1495339201335,1495339206216,far,,903d185fccf839df
1495339201335,1495339206260,far,,903d185fccf839df
