timestamp, signal strength, UUID 
1496159719839,-87,,903d185fccf839df
1496159763990,-87,,903d185fccf839df
1496159764159,-87,,903d185fccf839df
1496159764227,-87,,903d185fccf839df
1496159764305,-87,,903d185fccf839df
1496159764417,-87,,903d185fccf839df
1496159764490,-87,,903d185fccf839df
1496159764583,-87,,903d185fccf839df
1496159764693,-87,,903d185fccf839df
1496159764794,-87,,903d185fccf839df
1496159764869,-87,,903d185fccf839df
1496159764979,-87,,903d185fccf839df
1496159765073,-87,,903d185fccf839df
1496159765157,-87,,903d185fccf839df
1496159765242,-87,,903d185fccf839df
1496159765378,-87,,903d185fccf839df
1496159765461,-87,,903d185fccf839df
1496159765562,-87,,903d185fccf839df
1496159765660,-87,,903d185fccf839df
1496159765768,-87,,903d185fccf839df
1496159765881,-87,,903d185fccf839df
1496159765973,-87,,903d185fccf839df
1496159766075,-87,,903d185fccf839df
1496159766187,-87,,903d185fccf839df
1496159766274,-87,,903d185fccf839df
1496159766386,-87,,903d185fccf839df
1496159766498,-87,,903d185fccf839df
1496159766577,-87,,903d185fccf839df
1496159766676,-87,,903d185fccf839df
1496159766768,-87,,903d185fccf839df
1496159766863,-87,,903d185fccf839df
1496159766960,-87,,903d185fccf839df
1496159767092,-87,,903d185fccf839df
1496159767173,-87,,903d185fccf839df
1496159767276,-87,,903d185fccf839df
1496159767360,-87,,903d185fccf839df
1496159767469,-87,,903d185fccf839df
1496159767569,-87,,903d185fccf839df
1496159767676,-87,,903d185fccf839df
1496159767763,-87,,903d185fccf839df
1496159767869,-87,,903d185fccf839df
1496159767976,-87,,903d185fccf839df
1496159768067,-87,,903d185fccf839df
1496159768164,-87,,903d185fccf839df
1496159768258,-87,,903d185fccf839df
1496159768357,-87,,903d185fccf839df
1496159768464,-87,,903d185fccf839df
1496159768575,-87,,903d185fccf839df
1496159768659,-87,,903d185fccf839df
1496159768772,-87,,903d185fccf839df
1496159768883,-87,,903d185fccf839df
1496159768966,-87,,903d185fccf839df
1496159769068,-87,,903d185fccf839df
1496159769201,-87,,903d185fccf839df
1496159769287,-87,,903d185fccf839df
1496159769359,-87,,903d185fccf839df
1496159769473,-87,,903d185fccf839df
1496159769566,-87,,903d185fccf839df
1496159769671,-87,,903d185fccf839df
1496159769766,-87,,903d185fccf839df
1496159769862,-87,,903d185fccf839df
1496159769959,-87,,903d185fccf839df
1496159770076,-87,,903d185fccf839df
1496159770170,-87,,903d185fccf839df
1496159770266,-87,,903d185fccf839df
