timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1494606368807,8.300000190734863,5.700000286102295,-14.699999809265137,17.817687768226435,,903d185fccf839df
1494606369044,8.699999809265137,4.900000095367432,-17.100000381469727,19.801767565119103,,903d185fccf839df
1494606369084,8.699999809265137,4.800000190734863,-17.5,20.12411478121557,,903d185fccf839df
1494606369105,8.699999809265137,4.800000190734863,-17.5,20.12411478121557,,903d185fccf839df
1494606369150,8.699999809265137,4.800000190734863,-17.700000762939453,20.29827664581501,,903d185fccf839df
1494606369183,8.800000190734863,4.900000095367432,-17.700000762939453,20.365167363240307,,903d185fccf839df
1494606369219,8.800000190734863,5,-17.600000381469727,20.302709479452027,,903d185fccf839df
1494606369260,8.800000190734863,5,-17.700000762939453,20.389459078256742,,903d185fccf839df
1494606369325,8.800000190734863,5.200000286102295,-17.600000381469727,20.35288714236649,,903d185fccf839df
1494606369365,8.800000190734863,5.400000095367432,-17.30000114440918,20.14671296412065,,903d185fccf839df
1494606369427,8.90000057220459,5.599999904632568,-16.899999618530273,19.904270666578885,,903d185fccf839df
1494606369465,8.90000057220459,5.599999904632568,-16.899999618530273,19.904270666578885,,903d185fccf839df
1494606369525,9,5.700000286102295,-16.80000114440918,19.892964910942712,,903d185fccf839df
1494606369535,9,5.800000190734863,-16.700000762939453,19.837591029476922,,903d185fccf839df
1494606369576,9.100000381469727,5.700000286102295,-16.600000381469727,19.770179676094216,,903d185fccf839df
1494606369643,9.199999809265137,5.599999904632568,-16.600000381469727,19.78787496552485,,903d185fccf839df
1494606369675,9.40000057220459,5.400000095367432,-16.700000762939453,19.910048333516027,,903d185fccf839df
1494606369704,9.40000057220459,5.300000190734863,-16.80000114440918,19.967224683696376,,903d185fccf839df
1494606369747,9.5,5.200000286102295,-17,20.156636694222478,,903d185fccf839df
1494606369805,9.699999809265137,4.900000095367432,-17.100000381469727,20.261046375468418,,903d185fccf839df
1494606369826,9.800000190734863,4.800000190734863,-17.200000762939453,20.417885236640476,,903d185fccf839df
1494606369885,10.199999809265137,4.800000190734863,-17.100000381469727,20.481454974287583,,903d185fccf839df
1494606369905,10.5,4.900000095367432,-17.200000762939453,20.738853080253755,,903d185fccf839df
1494606369947,10.800000190734863,5.099999904632568,-17.100000381469727,20.85809217073042,,903d185fccf839df
1494606370008,11.5,5.099999904632568,-17,21.148522367331793,,903d185fccf839df
1494606370024,11.800000190734863,5.200000286102295,-17,21.33729149437763,,903d185fccf839df
1494606370075,12.600000381469727,5.099999904632568,-16.899999618530273,21.688245513151145,,903d185fccf839df
1494606370111,13.100000381469727,5.200000286102295,-16.80000114440918,21.9292058670976,,903d185fccf839df
1494606370156,13.90000057220459,5.300000190734863,-16.700000762939453,22.36492876539137,,903d185fccf839df
1494606370185,14.300000190734863,5.400000095367432,-16.700000762939453,22.639346763905586,,903d185fccf839df
1494606370239,14.90000057220459,5.400000095367432,-16.80000114440918,23.095671949305068,,903d185fccf839df
1494606370266,15.199999809265137,5.400000095367432,-16.80000114440918,23.29034233991473,,903d185fccf839df
1494606370475,16.200000762939453,4.900000095367432,-16.399999618530273,23.56713866049386,,903d185fccf839df
1494606370516,16.100000381469727,4.700000286102295,-16.399999618530273,23.45762169290977,,903d185fccf839df
1494606370558,15.800000190734863,4.599999904632568,-16.30000114440918,23.162254471360185,,903d185fccf839df
1494606370598,15.40000057220459,4.599999904632568,-16.30000114440918,22.891265839339138,,903d185fccf839df
1494606370626,15,4.599999904632568,-16.200000762939453,22.552162486253874,,903d185fccf839df
1494606370654,14.800000190734863,4.800000190734863,-16.30000114440918,22.533753402827358,,903d185fccf839df
1494606370706,14.100000381469727,5.300000190734863,-16.600000381469727,22.4156198316244,,903d185fccf839df
1494606370736,13.699999809265137,5.700000286102295,-16.700000762939453,22.3398747424761,,903d185fccf839df
1494606370795,12.90000057220459,6.400000095367432,-17.100000381469727,22.355760454124074,,903d185fccf839df
1494606370836,12.300000190734863,7,-17,22.11990073542198,,903d185fccf839df
1494606370865,11.90000057220459,7.700000286102295,-17,22.13368520150599,,903d185fccf839df
1494606370925,10.800000190734863,9,-16.700000762939453,21.8295676014776,,903d185fccf839df
1494606370945,10.300000190734863,9.40000057220459,-16.600000381469727,21.679714245478998,,903d185fccf839df
1494606370985,8.90000057220459,10.5,-15.90000057220459,21.030216820833065,,903d185fccf839df
1494606371018,8,11,-15.800000190734863,20.84802147422264,,903d185fccf839df
1494606371065,7.800000190734863,11.600000381469727,-15.90000057220459,21.170971390138213,,903d185fccf839df
1494606371105,7.099999904632568,12.300000190734863,-15.5,21.02260707886474,,903d185fccf839df
1494606371158,6.300000190734863,13,-15.300000190734863,21.04233860667787,,903d185fccf839df
1494606371205,5.800000190734863,13.5,-15,20.99738086534475,,903d185fccf839df
1494606371225,5.700000286102295,13.699999809265137,-14.800000190734863,20.957576133847297,,903d185fccf839df
1494606371269,5.800000190734863,14,-14.600000381469727,21.042813663254613,,903d185fccf839df
1494606371315,6.099999904632568,14.300000190734863,-14.5,21.259115799525546,,903d185fccf839df
1494606371335,6.200000286102295,14.40000057220459,-14.300000190734863,21.220038261127403,,903d185fccf839df
1494606371375,6.599999904632568,14.5,-14.100000381469727,21.274868046029724,,903d185fccf839df
1494606371445,7.400000095367432,14.5,-13.90000057220459,21.406074467517083,,903d185fccf839df
1494606371464,7.800000190734863,14.300000190734863,-13.90000057220459,21.413547847872046,,903d185fccf839df
1494606371505,8.300000190734863,13.600000381469727,-14.199999809265137,21.342211822891368,,903d185fccf839df
1494606371546,8.800000190734863,12.800000190734863,-14.600000381469727,21.317598778947765,,903d185fccf839df
1494606371595,9.199999809265137,11.699999809265137,-15,21.13125644109448,,903d185fccf839df
1494606371629,9.40000057220459,11.100000381469727,-15.100000381469727,20.966163805504294,,903d185fccf839df
1494606371655,9.5,10.40000057220459,-15.199999809265137,20.723175542798376,,903d185fccf839df
1494606371715,9.699999809265137,9,-15.699999809265137,20.532413072317283,,903d185fccf839df
1494606371759,9.600000381469727,8.300000190734863,-15.699999809265137,20.187619802397034,,903d185fccf839df
1494606371826,9.600000381469727,8,-15.699999809265137,20.066140483323753,,903d185fccf839df
1494606371866,9.5,8.100000381469727,-15.600000381469727,19.98049108778077,,903d185fccf839df
