timestamp, signal strength, UUID 
,,,903d185fccf839df
1494606368745,-87,,903d185fccf839df
1494606368851,-87,,903d185fccf839df
1494606369069,-87,,903d185fccf839df
1494606369101,-87,,903d185fccf839df
1494606369186,-87,,903d185fccf839df
1494606369289,-87,,903d185fccf839df
1494606369394,-87,,903d185fccf839df
1494606369506,-87,,903d185fccf839df
1494606369590,-87,,903d185fccf839df
1494606369692,-87,,903d185fccf839df
1494606369803,-87,,903d185fccf839df
1494606369895,-87,,903d185fccf839df
1494606370001,-87,,903d185fccf839df
1494606370103,-87,,903d185fccf839df
1494606370188,-87,,903d185fccf839df
1494606370292,-87,,903d185fccf839df
1494606370494,-87,,903d185fccf839df
1494606370588,-87,,903d185fccf839df
1494606370691,-87,,903d185fccf839df
1494606370789,-87,,903d185fccf839df
1494606370910,-87,,903d185fccf839df
1494606370991,-87,,903d185fccf839df
1494606371095,-87,,903d185fccf839df
1494606371201,-87,,903d185fccf839df
1494606371304,-87,,903d185fccf839df
1494606371380,-87,,903d185fccf839df
1494606371494,-87,,903d185fccf839df
1494606371594,-87,,903d185fccf839df
1494606371704,-87,,903d185fccf839df
1494606371795,-87,,903d185fccf839df
1494606371897,-87,,903d185fccf839df
1494606371990,-87,,903d185fccf839df
1494606372086,-87,,903d185fccf839df
1494606372195,-87,,903d185fccf839df
1494606372302,-87,,903d185fccf839df
1494606372403,-87,,903d185fccf839df
1494606372481,-87,,903d185fccf839df
1494606372598,-87,,903d185fccf839df
1494606372686,-87,,903d185fccf839df
1494606372812,-87,,903d185fccf839df
1494606372898,-87,,903d185fccf839df
1494606372993,-87,,903d185fccf839df
1494606373090,-87,,903d185fccf839df
1494606373192,-87,,903d185fccf839df
1494606373291,-87,,903d185fccf839df
1494606373402,-87,,903d185fccf839df
1494606373495,-87,,903d185fccf839df
1494606373591,-87,,903d185fccf839df
1494606373695,-87,,903d185fccf839df
1494606373799,-87,,903d185fccf839df
1494606373897,-87,,903d185fccf839df
1494606373989,-87,,903d185fccf839df
1494606374090,-87,,903d185fccf839df
1494606374192,-87,,903d185fccf839df
1494606374293,-87,,903d185fccf839df
1494606374391,-87,,903d185fccf839df
1494606374492,-87,,903d185fccf839df
1494606374592,-87,,903d185fccf839df
1494606374689,-87,,903d185fccf839df
1494606374798,-87,,903d185fccf839df
1494606374894,-87,,903d185fccf839df
1494606374991,-87,,903d185fccf839df
1494606375089,-87,,903d185fccf839df
1494606375199,-87,,903d185fccf839df
1494606375292,-87,,903d185fccf839df
1494606375396,-87,,903d185fccf839df
1494606375502,-87,,903d185fccf839df
1494606375587,-87,,903d185fccf839df
1494606375692,-87,,903d185fccf839df
1494606375793,-87,,903d185fccf839df
1494606375901,-87,,903d185fccf839df
1494606376005,-87,,903d185fccf839df
1494606376100,-87,,903d185fccf839df
1494606376193,-87,,903d185fccf839df
1494606376296,-87,,903d185fccf839df
1494606376408,-87,,903d185fccf839df
1494606376506,-87,,903d185fccf839df
1494606376597,-87,,903d185fccf839df
1494606376697,-87,,903d185fccf839df
1494606376793,-87,,903d185fccf839df
1494606376898,-87,,903d185fccf839df
1494606376993,-87,,903d185fccf839df
1494606377098,-87,,903d185fccf839df
1494606377186,-87,,903d185fccf839df
1494606377291,-87,,903d185fccf839df
1494606377391,-87,,903d185fccf839df
1494606377491,-87,,903d185fccf839df
1494606377591,-87,,903d185fccf839df
1494606377690,-87,,903d185fccf839df
1494606377797,-87,,903d185fccf839df
1494606377897,-87,,903d185fccf839df
1494606377996,-87,,903d185fccf839df
1494606378103,-87,,903d185fccf839df
1494606378186,-87,,903d185fccf839df
1494606378297,-87,,903d185fccf839df
1494606378404,-87,,903d185fccf839df
1494606378509,-87,,903d185fccf839df
1494606378588,-87,,903d185fccf839df
1494606378694,-87,,903d185fccf839df
1494606378802,-87,,903d185fccf839df
1494606378908,-87,,903d185fccf839df
1494606379007,-87,,903d185fccf839df
1494606379093,-87,,903d185fccf839df
1494606379190,-87,,903d185fccf839df
1494606379295,-87,,903d185fccf839df
1494606379392,-87,,903d185fccf839df
1494606379488,-87,,903d185fccf839df
1494606379589,-87,,903d185fccf839df
1494606379709,-87,,903d185fccf839df
1494606379793,-87,,903d185fccf839df
1494606379889,-87,,903d185fccf839df
1494606379996,-87,,903d185fccf839df
1494606380092,-87,,903d185fccf839df
1494606380194,-87,,903d185fccf839df
1494606380297,-87,,903d185fccf839df
1494606380392,-87,,903d185fccf839df
1494606380486,-87,,903d185fccf839df
1494606380596,-87,,903d185fccf839df
1494606380694,-87,,903d185fccf839df
1494606380788,-87,,903d185fccf839df
1494606380893,-87,,903d185fccf839df
1494606380987,-87,,903d185fccf839df
1494606381092,-87,,903d185fccf839df
1494606381194,-87,,903d185fccf839df
1494606381299,-87,,903d185fccf839df
1494606381399,-87,,903d185fccf839df
1494606381489,-87,,903d185fccf839df
1494606381584,-87,,903d185fccf839df
1494606381706,-87,,903d185fccf839df
1494606381794,-87,,903d185fccf839df
1494606381890,-87,,903d185fccf839df
1494606381992,-87,,903d185fccf839df
1494606382101,-87,,903d185fccf839df
1494606382187,-87,,903d185fccf839df
1494606382301,-87,,903d185fccf839df
1494606382384,-87,,903d185fccf839df
1494606382497,-87,,903d185fccf839df
1494606382592,-87,,903d185fccf839df
1494606382688,-87,,903d185fccf839df
1494606382799,-87,,903d185fccf839df
1494606382905,-87,,903d185fccf839df
1494606382997,-87,,903d185fccf839df
1494606383093,-87,,903d185fccf839df
1494606383196,-87,,903d185fccf839df
1494606383303,-87,,903d185fccf839df
1494606383401,-87,,903d185fccf839df
1494606383491,-87,,903d185fccf839df
1494606383598,-87,,903d185fccf839df
1494606383698,-87,,903d185fccf839df
1494606383787,-87,,903d185fccf839df
1494606383902,-87,,903d185fccf839df
1494606383992,-87,,903d185fccf839df
1494606384101,-87,,903d185fccf839df
1494606384188,-87,,903d185fccf839df
1494606384294,-87,,903d185fccf839df
1494606384398,-87,,903d185fccf839df
1494606384494,-87,,903d185fccf839df
