timestamp, lastAccessTime, proximity, UUID 
1494606367267,1494606367424,far,,903d185fccf839df
1494606367267,1494606368808,far,,903d185fccf839df
1494606367267,1494606369056,far,,903d185fccf839df
1494606367267,1494606369092,far,,903d185fccf839df
1494606367267,1494606369120,far,,903d185fccf839df
1494606367267,1494606369144,far,,903d185fccf839df
1494606367267,1494606369168,far,,903d185fccf839df
1494606367267,1494606369208,far,,903d185fccf839df
1494606367267,1494606369231,far,,903d185fccf839df
1494606367267,1494606369254,far,,903d185fccf839df
1494606367267,1494606369275,far,,903d185fccf839df
1494606367267,1494606369322,far,,903d185fccf839df
1494606367267,1494606369368,far,,903d185fccf839df
1494606367267,1494606369404,far,,903d185fccf839df
1494606367267,1494606369419,far,,903d185fccf839df
1494606367267,1494606369446,far,,903d185fccf839df
1494606367267,1494606369465,far,,903d185fccf839df
1494606367267,1494606369488,far,,903d185fccf839df
1494606367267,1494606369525,far,,903d185fccf839df
1494606367267,1494606369543,far,,903d185fccf839df
1494606367267,1494606369563,far,,903d185fccf839df
1494606367267,1494606369578,far,,903d185fccf839df
1494606367267,1494606369613,far,,903d185fccf839df
1494606367267,1494606369653,far,,903d185fccf839df
1494606367267,1494606369678,far,,903d185fccf839df
1494606367267,1494606369709,far,,903d185fccf839df
1494606367267,1494606369725,far,,903d185fccf839df
1494606367267,1494606369746,far,,903d185fccf839df
1494606367267,1494606369762,far,,903d185fccf839df
1494606367267,1494606369787,far,,903d185fccf839df
1494606367267,1494606369818,far,,903d185fccf839df
1494606367267,1494606369848,far,,903d185fccf839df
1494606367267,1494606369875,far,,903d185fccf839df
1494606367267,1494606369904,far,,903d185fccf839df
1494606367267,1494606369924,far,,903d185fccf839df
1494606367267,1494606369952,far,,903d185fccf839df
1494606367267,1494606369979,far,,903d185fccf839df
1494606367267,1494606370018,far,,903d185fccf839df
1494606367267,1494606370045,far,,903d185fccf839df
1494606367267,1494606370065,far,,903d185fccf839df
1494606367267,1494606370088,far,,903d185fccf839df
1494606367267,1494606370133,far,,903d185fccf839df
1494606367267,1494606370160,far,,903d185fccf839df
1494606367267,1494606370179,far,,903d185fccf839df
