timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1498136788837,-41.5,24.399999618530273,-13.100000381469727,49.89208355261086,,903d185fccf839df
1498136790091,-43.60000228881836,36.400001525878906,-16.399999618530273,59.11751246069996,,903d185fccf839df
1498136790220,-42.5,37.60000228881836,-17.100000381469727,59.265674175681546,,903d185fccf839df
1498136790307,-42.29999923706055,37.29999923706055,-17.5,59.04938470453672,,903d185fccf839df
1498136790386,-42.79999923706055,36,-17.30000114440918,58.54169458499483,,903d185fccf839df
1498136790440,-42.900001525878906,35.29999923706055,-17.30000114440918,58.18754300649592,,903d185fccf839df
1498136790481,-43.20000076293945,34.5,-17.200000762939453,57.89931035133455,,903d185fccf839df
1498136790587,-43.70000076293945,33.20000076293945,-16.700000762939453,57.365669771731724,,903d185fccf839df
1498136790630,-44.10000228881836,33,-16.5,57.49834937338691,,903d185fccf839df
1498136790686,-44.5,33.10000228881836,-16.30000114440918,57.80614275646542,,903d185fccf839df
1498136790779,-45,34,-16.200000762939453,58.68083190411486,,903d185fccf839df
1498136790848,-45.10000228881836,35.29999923706055,-16.30000114440918,59.546538544952774,,903d185fccf839df
1498136790886,-44.79999923706055,36.20000076293945,-16.600000381469727,59.94197175625226,,903d185fccf839df
1498136790965,-43.79999923706055,38,-17.100000381469727,60.45535497429785,,903d185fccf839df
1498136790985,-43.60000228881836,38.400001525878906,-17.30000114440918,60.62021364804297,,903d185fccf839df
1498136791049,-42.900001525878906,39.79999923706055,-17.700000762939453,61.13706005611235,,903d185fccf839df
1498136791217,-41.70000076293945,44.900001525878906,-17.399999618530273,63.699765507672176,,903d185fccf839df
1498136791260,-41.60000228881836,45.70000076293945,-17.5,64.22849967809023,,903d185fccf839df
1498136791320,-41.79999923706055,46.900001525878906,-17.200000762939453,65.13593573835966,,903d185fccf839df
1498136791350,-42,47.29999923706055,-17,65.50030564098537,,903d185fccf839df
1498136791389,-42.5,47.60000228881836,-16.700000762939453,65.96135435658282,,903d185fccf839df
1498136791427,-43.10000228881836,47.70000076293945,-16.600000381469727,66.39623683698709,,903d185fccf839df
1498136791470,-43.70000076293945,47.70000076293945,-16.5,66.76249023620271,,903d185fccf839df
1498136791508,-44.29999923706055,47.60000228881836,-16.100000381469727,66.98850846311836,,903d185fccf839df
1498136791558,-44.900001525878906,47.400001525878906,-15.699999809265137,67.15102661893236,,903d185fccf839df
1498136791577,-45,47.29999923706055,-15.600000381469727,67.12413913735982,,903d185fccf839df
1498136791589,-45.10000228881836,47.20000076293945,-15.699999809265137,67.14417571190558,,903d185fccf839df
1498136791698,-45.5,46.20000076293945,-15.699999809265137,66.71716552568199,,903d185fccf839df
1498136791746,-45.29999923706055,45.60000228881836,-15.800000190734863,66.18980246655464,,903d185fccf839df
1498136791783,-45,45.10000228881836,-16.100000381469727,65.71316668582413,,903d185fccf839df
1498136791829,-44.70000076293945,44.29999923706055,-16.5,65.06020348972942,,903d185fccf839df
1498136791886,-44.5,43.70000076293945,-16.899999618530273,64.61849618203851,,903d185fccf839df
1498136791947,-44.400001525878906,43.60000228881836,-16.700000762939453,64.42988690932522,,903d185fccf839df
1498136792029,-44.70000076293945,43.70000076293945,-16.600000381469727,64.67874572783381,,903d185fccf839df
1498136792087,-45,44.20000076293945,-15.90000057220459,65.04959667412105,,903d185fccf839df
1498136792148,-45.29999923706055,44.900001525878906,-15.40000057220459,65.61448006733602,,903d185fccf839df
1498136792166,-45.29999923706055,45.10000228881836,-15.199999809265137,65.70494723338862,,903d185fccf839df
1498136792235,-45.400001525878906,45.400001525878906,-15.100000381469727,65.95703391046041,,903d185fccf839df
1498136792286,-45.29999923706055,45.79999923706055,-14.90000057220459,66.11913298050534,,903d185fccf839df
1498136792319,-45.29999923706055,46,-14.800000190734863,66.23541237355529,,903d185fccf839df
1498136792399,-45,46.400001525878906,-15.300000190734863,66.42326562790183,,903d185fccf839df
1498136792438,-44.79999923706055,46.400001525878906,-15.199999809265137,66.26492371803083,,903d185fccf839df
1498136792557,-44.70000076293945,46.20000076293945,-15.199999809265137,66.05732560983401,,903d185fccf839df
1498136792647,-45.400001525878906,46,-14.90000057220459,66.3262404031438,,903d185fccf839df
1498136792702,-45.900001525878906,45.79999923706055,-14.5,66.44320846536442,,903d185fccf839df
1498136792759,-46.70000076293945,45.900001525878906,-14.100000381469727,66.98141688655058,,903d185fccf839df
1498136792777,-46.900001525878906,46,-13.90000057220459,67.14774850577294,,903d185fccf839df
1498136792826,-47.20000076293945,46.5,-13.5,67.61908079743931,,903d185fccf839df
1498136792861,-47.5,46.79999923706055,-13.300000190734863,67.99544094734604,,903d185fccf839df
1498136792897,-47.60000228881836,46.900001525878906,-13.199999809265137,68.11468528564527,,903d185fccf839df
1498136792956,-48,46.70000076293945,-12.90000057220459,68.20044102232514,,903d185fccf839df
1498136792979,-48.20000076293945,46.5,-12.699999809265137,68.16729408976498,,903d185fccf839df
1498136793028,-48.400001525878906,46.10000228881836,-12.5,68.00014899742408,,903d185fccf839df
1498136793072,-48.79999923706055,45.5,-12.199999809265137,67.82720647162273,,903d185fccf839df
1498136793120,-49.5,44.70000076293945,-11.600000381469727,67.69712032803173,,903d185fccf839df
1498136793146,-49.900001525878906,44.10000228881836,-11.5,67.58010383663458,,903d185fccf839df
1498136793180,-50.20000076293945,43.70000076293945,-11.199999809265137,67.49200024707427,,903d185fccf839df
1498136793226,-50.5,43.5,-11,67.55368235707066,,903d185fccf839df
1498136793263,-50.400001525878906,43.5,-11.100000381469727,67.49533437922852,,903d185fccf839df
1498136793308,-50.29999923706055,43.70000076293945,-11.199999809265137,67.56641104897147,,903d185fccf839df
1498136793366,-50.10000228881836,44.20000076293945,-11.800000190734863,67.8446038683096,,903d185fccf839df
1498136793380,-50,44.29999923706055,-11.90000057220459,67.85351874518753,,903d185fccf839df
1498136793426,-49.400001525878906,44.900001525878906,-12.5,67.9162737439107,,903d185fccf839df
