timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1499022335172,0.4229099750518799,0.2641855776309967,0.11824435740709305,,903d185fccf839df
1499022335230,0.061785340309143066,0.06391586363315582,0.17363810539245605,,903d185fccf839df
1499022335474,0.19174760580062866,-0.061785340309143066,0.026631612330675125,,903d185fccf839df
1499022335502,0.22477079927921295,-0.1395496428012848,0.03302319720387459,,903d185fccf839df
1499022335503,0.21198762953281403,-0.14594122767448425,0.01810949668288231,,903d185fccf839df
1499022335528,0.11398329585790634,-0.16511599719524384,-0.08522115647792816,,903d185fccf839df
1499022335595,0.10972224175930023,-0.003195793367922306,-0.10120012611150742,,903d185fccf839df
1499022335604,0.08309062570333481,-0.003195793367922306,-0.07563377916812897,,903d185fccf839df
1499022335639,-0.020240023732185364,0.008522115647792816,-0.07350324839353561,,903d185fccf839df
1499022335670,-0.11185276508331299,-0.024501081556081772,-0.2087918370962143,,903d185fccf839df
1499022335683,-0.3057309091091156,0.06072007492184639,-0.16831178963184357,,903d185fccf839df
1499022335714,-0.4303668439388275,0.2226402759552002,0.03195793181657791,,903d185fccf839df
1499022335740,-0.07030745595693588,0.037284255027770996,-0.034088462591171265,,903d185fccf839df
1499022335764,-0.07350324839353561,-0.03941478580236435,-0.15446335077285767,,903d185fccf839df
1499022335784,-0.33981937170028687,-0.024501081556081772,-0.2034655064344406,,903d185fccf839df
1499022335805,-0.4495415985584259,0.02130528911948204,-0.17257283627986908,,903d185fccf839df
1499022335809,-0.4207794666290283,0.011717909015715122,-0.14487597346305847,,903d185fccf839df
1499022335869,0.3813646733760834,-0.13528858125209808,0.09480853378772736,,903d185fccf839df
1499022335892,0.5102616548538208,-0.10013485699892044,0,,903d185fccf839df
1499022335924,0.5944175720214844,-0.05965480953454971,-0.052197959274053574,,903d185fccf839df
1499022335969,0.15659387409687042,-0.08735168725252151,-0.1757686287164688,,903d185fccf839df
1499022336183,-0.1619201898574829,-0.07243798673152924,-0.4538026452064514,,903d185fccf839df
1499022336240,-0.16085493564605713,-0.004261057823896408,-0.2641855776309967,,903d185fccf839df
1499022336272,0.03941478580236435,0.04580637067556381,-0.14594122767448425,,903d185fccf839df
1499022336300,0.10013485699892044,0.0884169489145279,-0.11717908829450607,,903d185fccf839df
1499022336323,0.019174760207533836,0.05752427875995636,-0.11824435740709305,,903d185fccf839df
1499022336342,-0.09161274135112762,0.05965480953454971,-0.10759171098470688,,903d185fccf839df
1499022336378,-0.14913702011108398,0.07030745595693588,-0.061785340309143066,,903d185fccf839df
1499022336404,-0.13102753460407257,0.08628641813993454,-0.047936901450157166,,903d185fccf839df
1499022336434,-0.08522115647792816,0.08735168725252151,-0.052197959274053574,,903d185fccf839df
1499022336465,0,0.12357068061828613,-0.041545312851667404,,903d185fccf839df
1499022336533,0.14700649678707123,0.0788295716047287,0.0649811327457428,,903d185fccf839df
1499022336602,0.4229099750518799,0.10865697264671326,0.4069310128688812,,903d185fccf839df
1499022336612,0.4122573435306549,0.04580637067556381,0.509196400642395,,903d185fccf839df
1499022336643,0.17470337450504303,-0.08628641813993454,0.474042683839798,,903d185fccf839df
1499022336670,-0.052197959274053574,-0.13528858125209808,0.4111920893192291,,903d185fccf839df
1499022336683,-0.1065264493227005,-0.05006742849946022,0.46978163719177246,,903d185fccf839df
1499022336700,-0.09480853378772736,0.14594122767448425,0.5805691480636597,,903d185fccf839df
1499022336711,-0.1065264493227005,0.15978966653347015,0.6103965044021606,,903d185fccf839df
1499022336733,-0.6647250056266785,0.22903186082839966,0.8255799412727356,,903d185fccf839df
1499022336773,-1.8311896324157715,0.03834952041506767,0.3536677956581116,,903d185fccf839df
1499022336791,-1.6010924577713013,-0.09693906456232071,0.30786141753196716,,903d185fccf839df
1499022336819,-0.6892260909080505,-0.08415589481592178,0.575242817401886,,903d185fccf839df
1499022336850,0.5028048157691956,-0.08735168725252151,0.8127967715263367,,903d185fccf839df
1499022336889,-0.6551376581192017,-0.3334277868270874,0.5315669775009155,,903d185fccf839df
1499022336902,-0.8255799412727356,-0.28442561626434326,0.4601942300796509,,903d185fccf839df
1499022336928,-0.583764910697937,-0.06072007492184639,0.474042683839798,,903d185fccf839df
1499022336954,0.01065264455974102,0.08309062570333481,0.5038700699806213,,903d185fccf839df
1499022336982,0.48895639181137085,0.14274543523788452,0.4133225977420807,,903d185fccf839df
1499022336999,0.7893609404563904,0.055393751710653305,0.3185140788555145,,903d185fccf839df
1499022337003,0.8490157723426819,0.029827404767274857,0.29507824778556824,,903d185fccf839df
1499022337045,0.7819041013717651,-0.07350324839353561,0.15872439742088318,,903d185fccf839df
1499022337068,0.06285060197114944,0.05965480953454971,0.1480717658996582,,903d185fccf839df
1499022337121,-0.637028157711029,0.10333064943552017,0.06924218684434891,,903d185fccf839df
1499022337172,-0.8032094240188599,0.13209278881549835,-0.06817692518234253,,903d185fccf839df
1499022337201,-0.6604639887809753,0.06711166352033615,-0.03941478580236435,,903d185fccf839df
1499022337226,0.08415589481592178,-0.05752427875995636,0.10333064943552017,,903d185fccf839df
1499022337263,0.14594122767448425,0.11078750342130661,0.1257012039422989,,903d185fccf839df
1499022337284,0.19174760580062866,0.058589544147253036,0.11291803419589996,,903d185fccf839df
1499022337303,0.22903186082839966,-0.18429075181484222,0.09161274135112762,,903d185fccf839df
1499022337334,-0.213052898645401,-0.4591289758682251,-0.16937704384326935,,903d185fccf839df
1499022337372,-1.0109360218048096,-0.32597091794013977,-0.46658584475517273,,903d185fccf839df
1499022337392,-0.6796387434005737,-0.22583606839179993,-0.3238403797149658,,903d185fccf839df
1499022337413,0.30466562509536743,-0.06604639440774918,0.017044231295585632,,903d185fccf839df
1499022337429,1.2857742309570312,-0.12783172726631165,0.24820661544799805,,903d185fccf839df
1499022337452,1.4615428447723389,-0.36005938053131104,0.3185140788555145,,903d185fccf839df
1499022337494,0.6093312501907349,-0.41012680530548096,0.2226402759552002,,903d185fccf839df
1499022337523,0.33981937170028687,0.027696875855326653,0.08628641813993454,,903d185fccf839df
1499022337553,0.6807039976119995,0.18429075181484222,-0.058589544147253036,,903d185fccf839df
1499022337569,0.7084008455276489,0.12783172726631165,-0.15020228922367096,,903d185fccf839df
1499022337595,0.3611246645450592,0.24288029968738556,-0.33129724860191345,,903d185fccf839df
1499022337610,0.06711166352033615,0.3930825889110565,-0.36432045698165894,,903d185fccf839df
1499022337624,-0.10439591854810715,0.4761732220649719,-0.3206445872783661,,903d185fccf839df
1499022337670,-0.6103965044021606,0.4388889670372009,0.36858150362968445,,903d185fccf839df
1499022337692,-0.4921521842479706,0.30360037088394165,0.5922870635986328,,903d185fccf839df
1499022337709,-0.3653857111930847,0.2045307755470276,0.7041398286819458,,903d185fccf839df
1499022337733,-0.30253511667251587,0.14168016612529755,0.948085367679596,,903d185fccf839df
1499022337768,-0.07350324839353561,0.2588592767715454,1.1281150579452515,,903d185fccf839df
1499022337784,0.2737729549407959,0.3334277868270874,1.200553059577942,,903d185fccf839df
1499022337802,0.3014698326587677,0.2695119082927704,1.174986720085144,,903d185fccf839df
1499022337824,0.04367584362626076,0.044741109013557434,0.9779127836227417,,903d185fccf839df
1499022337842,-0.16511599719524384,-0.05645901709794998,0.7179882526397705,,903d185fccf839df
1499022337871,-0.1992044597864151,0.03302319720387459,0.463390052318573,,903d185fccf839df
1499022337887,-0.19281286001205444,0.1438107043504715,0.4314320981502533,,903d185fccf839df
