timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1497326056131,-0.4037352204322815,-0.026631612330675125,0.29933932423591614,,903d185fccf839df
1497326056236,-1.3688647747039795,-0.4303668439388275,-0.07243798673152924,,903d185fccf839df
1497326056307,0.6743124127388,0.5145227313041687,0.5944175720214844,,903d185fccf839df
1497326056352,-0.7392935156822205,0.1480717658996582,0.22370553016662598,,903d185fccf839df
1497326056385,-0.6231797337532043,-0.06711166352033615,0.1533980816602707,,903d185fccf839df
1497326056407,-0.3813646733760834,-0.1533980816602707,0.23755396902561188,,903d185fccf839df
1497326056487,0.01810949668288231,-0.16937704384326935,-0.08628641813993454,,903d185fccf839df
1497326056550,1.0396981239318848,-0.6146575808525085,-0.12357068061828613,,903d185fccf839df
1497326056571,0.8586031794548035,-0.21198762953281403,-0.13209278881549835,,903d185fccf839df
1497326056586,0.6082659959793091,-0.1342233270406723,-0.10972224175930023,,903d185fccf839df
1497326056648,0.03834952041506767,-0.5486112236976624,-0.21411815285682678,,903d185fccf839df
1497326056694,-0.45167213678359985,-0.14700649678707123,-0.7360977530479431,,903d185fccf839df
1497326056742,-0.5603290796279907,0.03302319720387459,-0.36858150362968445,,903d185fccf839df
1497326056777,-0.5336974859237671,0.10439591854810715,-0.3888215124607086,,903d185fccf839df
1497326056805,-0.6423544883728027,0.2918824553489685,-0.32703620195388794,,903d185fccf839df
1497326056858,0.6072007417678833,0.2737729549407959,0.15659387409687042,,903d185fccf839df
1497326056891,0.16937704384326935,-0.11185276508331299,-0.001065264455974102,,903d185fccf839df
1497326056948,-0.5933523178100586,-0.10120012611150742,-0.03515372797846794,,903d185fccf839df
1497326056983,-0.521979570388794,-0.4037352204322815,-0.001065264455974102,,903d185fccf839df
1497326057014,-0.1992044597864151,-0.33129724860191345,0.08096009492874146,,903d185fccf839df
1497326057136,0.17044231295585632,-0.1715075820684433,-0.17044231295585632,,903d185fccf839df
1497326057163,0.21411815285682678,0.049002163112163544,-0.17896443605422974,,903d185fccf839df
1497326057194,0.5858954787254333,-0.002130528911948204,-0.14913702011108398,,903d185fccf839df
1497326057232,0.4175836741924286,-0.14168016612529755,-0.10333064943552017,,903d185fccf839df
1497326057262,0.16831178963184357,0.23968450725078583,-0.06072007492184639,,903d185fccf839df
1497326057274,0.17470337450504303,0.34940674901008606,-0.011717909015715122,,903d185fccf839df
1497326057297,0.2045307755470276,0.1480717658996582,0.04580637067556381,,903d185fccf839df
1497326057317,-0.14274543523788452,-0.24927188456058502,-0.05645901709794998,,903d185fccf839df
1497326057346,-0.6508765816688538,-0.09693906456232071,-0.2183792144060135,,903d185fccf839df
1497326057366,-0.5070658922195435,0.213052898645401,-0.13315805792808533,,903d185fccf839df
1497326057396,0.5741775631904602,0.29507824778556824,0.09906959533691406,,903d185fccf839df
1497326057425,0.1853560209274292,-0.15233281254768372,0.1022653877735138,,903d185fccf839df
1497326057452,-0.4133225977420807,0.08628641813993454,0.2822950780391693,,903d185fccf839df
1497326057480,-0.500674307346344,0.26631611585617065,0.4996090233325958,,903d185fccf839df
1497326057486,-0.4601942300796509,0.29401299357414246,0.5294364094734192,,903d185fccf839df
1497326057532,-0.38775625824928284,0.1065264493227005,0.4783037304878235,,903d185fccf839df
