timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1497373180518,0.31212249398231506,0.27483823895454407,-0.10013485699892044,,903d185fccf839df
1497373234175,0.3483414649963379,0.3238403797149658,0.02556634694337845,,903d185fccf839df
1497373234267,0.14594122767448425,0.3664509654045105,0.33662357926368713,,903d185fccf839df
1497373234302,-0.45593318343162537,-0.07350324839353561,0.002130528911948204,,903d185fccf839df
1497373234352,-0.10546118021011353,0.6988134980201721,0.14061491191387177,,903d185fccf839df
1497373234372,0.10439591854810715,0.509196400642395,0.07456851005554199,,903d185fccf839df
1497373234437,-0.1757686287164688,-0.07456851005554199,-0.36858150362968445,,903d185fccf839df
1497373234475,1.3177320957183838,-0.47510793805122375,0.11078750342130661,,903d185fccf839df
1497373234492,1.6479641199111938,-0.27590349316596985,-0.13209278881549835,,903d185fccf839df
1497373234556,0.612527072429657,-0.9246495366096497,-0.6093312501907349,,903d185fccf839df
1497373234571,-0.474042683839798,-0.6615292429924011,-0.5177185535430908,,903d185fccf839df
1497373234593,-0.7627293467521667,-0.436758428812027,-0.27696874737739563,,903d185fccf839df
1497373234620,-0.4687163531780243,-0.07563377916812897,-0.2972087860107422,,903d185fccf839df
1497373234659,0.5816344022750854,0.09906959533691406,-0.8532768487930298,,903d185fccf839df
1497373234679,0.4303668439388275,-0.23009711503982544,-0.9502158761024475,,903d185fccf839df
1497373234689,0.2886866629123688,-0.3579288721084595,-0.869255781173706,,903d185fccf839df
1497373234718,0.28549087047576904,-0.5102616548538208,-0.4825648069381714,,903d185fccf839df
1497373234746,0.3802994191646576,-0.42930158972740173,-0.3376888334751129,,903d185fccf839df
1497373234759,0.6338323354721069,-0.250337153673172,-0.5688512325286865,,903d185fccf839df
1497373234782,0.8532768487930298,0.2961435317993164,-0.9182579517364502,,903d185fccf839df
1497373234838,-0.5805691480636597,-0.33662357926368713,-0.6562029123306274,,903d185fccf839df
1497373234852,-0.4761732220649719,-0.0884169489145279,-0.3984089195728302,,903d185fccf839df
1497373234872,-0.41438788175582886,0.013848437927663326,-0.09906959533691406,,903d185fccf839df
1497373234903,-1.2442288398742676,0.4133225977420807,0.3930825889110565,,903d185fccf839df
1497373234942,-1.8556907176971436,0.7542072534561157,1.4871091842651367,,903d185fccf839df
1497373234977,-0.26631611585617065,0.15659387409687042,0.5283711552619934,,903d185fccf839df
1497373234992,0.5635249018669128,-0.4548679292201996,-0.16937704384326935,,903d185fccf839df
1497373235034,0.3707120418548584,-0.3014698326587677,-0.5070658922195435,,903d185fccf839df
1497373235051,-0.07243798673152924,-0.22583606839179993,-0.4591289758682251,,903d185fccf839df
1497373235069,-0.09374327212572098,-0.426105797290802,-0.4814995229244232,,903d185fccf839df
1497373235107,0.5901564955711365,-1.1153318881988525,-0.6455502510070801,,903d185fccf839df
1497373235139,0.5518069863319397,-0.8021441102027893,-0.6199839115142822,,903d185fccf839df
1497373235179,-0.1576591432094574,-0.1757686287164688,-0.4452805519104004,,903d185fccf839df
1497373235198,-0.45699843764305115,-0.17896443605422974,-0.43782368302345276,,903d185fccf839df
1497373235241,-0.41438788175582886,0.12676647305488586,-0.39521312713623047,,903d185fccf839df
1497373235261,-0.2631203234195709,0.22157500684261322,-0.3536677956581116,,903d185fccf839df
1497373235280,-0.15446335077285767,0.15552860498428345,-0.3579288721084595,,903d185fccf839df
1497373235334,-0.20240025222301483,-0.10013485699892044,-0.31212249398231506,,903d185fccf839df
1497373235547,-0.6093312501907349,-0.30892670154571533,-0.4122573435306549,,903d185fccf839df
1497373235579,-0.5209143161773682,-0.4175836741924286,-0.4410194754600525,,903d185fccf839df
1497373235594,-0.5518069863319397,-0.12463594228029251,-0.4207794666290283,,903d185fccf839df
1497373235630,-0.5294364094734192,0.250337153673172,-0.26631611585617065,,903d185fccf839df
1497373235651,-0.2556634545326233,-0.047936901450157166,-0.21624869108200073,,903d185fccf839df
1497373235672,-0.03302319720387459,-0.260989785194397,-0.20026971399784088,,903d185fccf839df
1497373235697,0.10865697264671326,-0.14913702011108398,-0.18216022849082947,,903d185fccf839df
1497373235732,0.4314320981502533,0.00532632227987051,-0.05432848632335663,,903d185fccf839df
1497373235747,0.5560680627822876,-0.12783172726631165,-0.03621899336576462,,903d185fccf839df
1497373235771,0.5475459098815918,-0.3014698326587677,-0.03195793181657791,,903d185fccf839df
1497373235800,0.3707120418548584,-0.3430151641368866,-0.08415589481592178,,903d185fccf839df
1497373235831,0.058589544147253036,-0.30786141753196716,-0.16831178963184357,,903d185fccf839df
1497373235867,0.10439591854810715,-0.23861923813819885,-0.1619201898574829,,903d185fccf839df
1497373235912,0.3792341351509094,-0.16405072808265686,-0.1768338978290558,,903d185fccf839df
1497373235943,0.6167881488800049,-0.18216022849082947,-0.30892670154571533,,903d185fccf839df
1497373235951,0.6892260909080505,-0.1949433982372284,-0.35473304986953735,,903d185fccf839df
1497373235981,0.7819041013717651,-0.23542344570159912,-0.463390052318573,,903d185fccf839df
1497373236039,0.6487460732460022,-0.4218447208404541,-0.5709817409515381,,903d185fccf839df
1497373236050,0.4069310128688812,-0.4356931746006012,-0.6103965044021606,,903d185fccf839df
