UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
903d185fccf839df,-0.3348037784983194,-0.47566587068109445,-0.4581785372298123,-0.6069581646723863,-1.0133452830071163,-1.2769209804133848,1.6649100805481074,-1.3919375613423635,-0.019155472594635476,-0.8306065196272715,0.06905636255125158,-0.9835392527532286,0.14217427027629234,-0.5160282589695919,-0.3697054345852772,0.35072876542399606,-0.7514118214749812,-0.5144844303845904,-0.5299848834653988,0.22595715269513128,-0.42069312668355924,-0.628108484012996,-0.6470803952668985,-0.34944593110534145,undefined,1495052246003
903d185fccf839df,-0.25094997395626634,-0.4577617963264228,-0.08717518679236559,-0.20002551770169907,-0.8722625878210462,-1.4626724608924708,1.8525634470335595,-0.5110223286155066,-0.4080279250739435,-0.33090170788121753,-0.13852840255124385,-1.1389987042935206,2.5531173406862746,-0.0836638727748413,-0.5191793064590499,0.10017345621842708,-0.6840967571396875,-0.2511923002477136,-0.5362634609653324,0.47388962686667224,-0.28255313871471005,-0.5987073773536904,-0.43595295801038453,-0.5095082805625929,undefined,1495052247523
903d185fccf839df,0.1842587192646259,-0.45981640727583234,0.20567241104110529,0.12231514019417486,-0.6086756865817917,-1.503208709297152,1.7955154418738801,-0.7972167836990307,-0.5874485154546494,-0.1788415587797712,-0.12412351192493845,-0.5875317969316542,2.3725142045454546,-0.16235973348871185,-0.6212847133634589,0.14866808689961114,-0.6558795109170529,-0.2587398280537605,-0.6076384172628906,0.4058997921778227,-0.3293874062751042,-0.5085329366817564,-0.472632668708102,-0.5438629756985167,undefined,1495052248988
903d185fccf839df,1.0588340075794187,-0.41843184990827453,1.4383105695968763,1.5192500463052625,0.13859857045891508,-1.6560622057517644,1.7818374470375662,-0.8132548821215442,-0.9452225052295027,0.8373234547040513,-0.3532268480280646,-0.25656239159593514,0.6839836786987523,-0.3003090269230313,-0.6339163187464235,0.1486680586348896,-0.635136927925817,-0.26214073732226706,-0.6292431102188824,0.43358995418928586,-0.3390737618253929,-0.5034857955936414,-0.4408131281127127,-0.6102337075708266,undefined,1495052250524
903d185fccf839df,0.5959050828996212,-0.3139430925586906,2.332802489769203,2.2605567284472916,0.5746915458659179,-1.7204726583157055,1.8680398601454427,-0.2047929972790185,-0.8028538921978067,0.6632739784125531,-0.23209947329680958,0.15962214573004196,0.8101882798573976,-0.3558590173016792,-0.6697058452447883,0.1749360471828211,-0.6752908151968106,-0.312613127321051,-0.645835359813755,0.42028675455541736,-0.3700629460498876,-0.49115419164167085,-0.4562773836332392,-0.5864147856347466,undefined,1495052252007
903d185fccf839df,0.04704340274126641,-0.41843179145228987,2.216046130054256,2.1938694264322636,0.45574774852190336,-1.7014357872613692,1.852510860741156,-0.4656380149712248,-0.4069263771804427,0.7036223384929946,-0.08129279904194939,0.2168990076064233,-0.02102133467023172,-0.4188157110530854,-0.7349690440143992,0.15068859051862138,-0.6811159611627059,-0.3699539932654049,-0.6671760178862631,0.3489291441679887,-0.4201308028572891,-0.4670370777259163,-0.47489025301034044,-0.5825447484874352,undefined,1495052253507
903d185fccf839df,0.03872704690869402,-0.38966811500032655,2.164367381389008,2.1357330991956283,0.3249959720259996,-1.6625281750038439,1.7888038047929389,-0.8654842157530392,-0.6578702826038259,0.926839699384408,0.048375993889567384,-0.012017749196491624,-0.7608414104278075,-0.46232997681107,-0.7876006962989158,0.23757476849150758,-0.7301310885595388,-0.37844647057068764,-0.7184206606614081,0.3816354438979162,-0.440166662849969,-0.42732774142510627,-0.46802491960741993,-0.6148394469593347,undefined,1495052255083
903d185fccf839df,0.1634685197913896,-0.49474385812003957,2.135657276075697,2.052881979961044,0.37002676069824814,-1.6471295746356076,1.709181172783247,-1.2419284442990808,-0.5796217505854898,0.16152408186760958,-0.10920781745923652,-0.03624944229897583,-0.6999150512477719,-0.49565993477609,-0.8276007726494031,0.3547701401033965,-0.7123142466140691,-0.41545619145584983,-0.7451274881691768,0.4900866907470122,-0.44153643923890323,-0.4697431447012921,-0.4808750471266082,-0.6475266009645129,undefined,1495052256494
903d185fccf839df,0.08723778838952323,-0.5182245165008798,2.2983501600836704,2.1700590094621597,0.422092957598583,-1.6862654524479277,1.6744808710370016,-1.4718323669229125,-0.615019716893337,-0.5199939560141028,-0.1788437946785133,-0.046537097254690296,-0.7826008244206774,-0.5789849591963855,-0.852863953966397,0.3547700553092319,-0.7573544914705044,-0.47535317434010943,-0.7605904406654129,0.45183695360466763,-0.4815291299836543,-0.4805976150935941,-0.4933058438892352,-0.6472200453489406,undefined,1495052258048
903d185fccf839df,0.012392794242594724,-0.5006139496452687,2.1866978868609435,1.9742603283051157,0.4211158113126086,-1.6286237704908006,1.7745265811002495,-0.7259376423947137,-0.6022378897874613,-1.2657243850653472,-0.047675739960321796,0.007329149336690215,-0.8870460115864528,-0.5817624859119443,-0.8139165298034079,0.4861094610191802,-0.7567598643565248,-0.4771707293416209,-0.7589811734541981,0.5007732106616651,-0.47656699636359484,-0.4594487726120476,-0.5039969796500087,-0.6446494995788543,undefined,1495052259501
903d185fccf839df,-0.0957163810398729,-0.6056897512209665,2.039955146072681,1.9050230761204718,0.25264638010968576,-1.5950035297836656,1.752830682884137,-0.9646016387469394,-0.6036935534179981,-0.8925415055231188,0.1378427086317126,-0.031246893442605315,-0.7913045900178254,-0.5567650044874048,-0.7760217283789819,0.4921713675823124,-0.7183641207464091,-0.45261790575760247,-0.743966016315768,0.6103177516203966,-0.4407865040951571,-0.4696576740968218,-0.5053083060644639,-0.7006593706651951,undefined,1495052261024
