timestamp, magneticFieldX, magneticFieldY, magneticFieldZ, magneticFieldMagnitude, UUID 
1495052244624,10.300000190734863,-26.100000381469727,-11.40000057220459,30.286301072494947,,903d185fccf839df
1495052244775,9.90000057220459,-25.899999618530273,-13.199999809265137,30.709281944692126,,903d185fccf839df
1495052244873,9.40000057220459,-25.600000381469727,-14.600000381469727,30.933477953320644,,903d185fccf839df
1495052244921,9.199999809265137,-25.30000114440918,-15.300000190734863,30.964820343043378,,903d185fccf839df
1495052244945,9.100000381469727,-25.200000762939453,-15.800000190734863,31.104501983477196,,903d185fccf839df
1495052245045,8.699999809265137,-24.700000762939453,-16.899999618530273,31.167130233934643,,903d185fccf839df
1495052245104,8.5,-24.700000762939453,-17.399999618530273,31.386302842219497,,903d185fccf839df
1495052245164,8.40000057220459,-24.600000381469727,-17.700000762939453,31.448530745641683,,903d185fccf839df
1495052245214,8.300000190734863,-24.600000381469727,-17.80000114440918,31.47840625611158,,903d185fccf839df
1495052245235,8.199999809265137,-24.600000381469727,-17.700000762939453,31.39570147497834,,903d185fccf839df
1495052245285,8.199999809265137,-24.600000381469727,-17.399999618530273,31.227552118145667,,903d185fccf839df
1495052245325,8.300000190734863,-24.600000381469727,-17.100000381469727,31.0879403825896,,903d185fccf839df
1495052245344,8.40000057220459,-24.600000381469727,-16.899999618530273,31.005322645452875,,903d185fccf839df
1495052245444,9.40000057220459,-24.30000114440918,-16.30000114440918,30.733370990964556,,903d185fccf839df
1495052245494,10,-24.30000114440918,-15.90000057220459,30.713190392515624,,903d185fccf839df
1495052245515,10.199999809265137,-24.30000114440918,-15.699999809265137,30.67604985636252,,903d185fccf839df
1495052245565,10.800000190734863,-24.200000762939453,-15.90000057220459,30.90453097014843,,903d185fccf839df
1495052245597,11.100000381469727,-24,-16,30.906471922784508,,903d185fccf839df
1495052245645,11.40000057220459,-23.80000114440918,-16.30000114440918,31.0175773255974,,903d185fccf839df
1495052245699,11.699999809265137,-23.399999618530273,-16.5,30.93056735574442,,903d185fccf839df
1495052245725,11.699999809265137,-23.100000381469727,-16.600000381469727,30.758089071575316,,903d185fccf839df
1495052245752,11.699999809265137,-23,-16.600000381469727,30.68305716430881,,903d185fccf839df
1495052245876,11.90000057220459,-20.899999618530273,-17.100000381469727,29.50982916063466,,903d185fccf839df
