timestamp, heading, UUID 
1495632084719,108.6956558227539,,903d185fccf839df
1495632090672,99.2689437866211,,903d185fccf839df
1495632090769,98.46630859375,,903d185fccf839df
1495632090801,97.63420104980469,,903d185fccf839df
1495632090842,96.68563079833984,,903d185fccf839df
1495632090856,96.8331298828125,,903d185fccf839df
1495632090929,97.1819839477539,,903d185fccf839df
1495632090982,97.33231353759766,,903d185fccf839df
1495632091029,97.94780731201172,,903d185fccf839df
1495632091038,98.2509536743164,,903d185fccf839df
1495632091060,98.51815795898438,,903d185fccf839df
1495632091088,97.83497619628906,,903d185fccf839df
1495632091113,96.77447509765625,,903d185fccf839df
1495632091120,96.5030746459961,,903d185fccf839df
1495632091139,96.27755737304688,,903d185fccf839df
1495632091159,96.39756774902344,,903d185fccf839df
1495632091181,96.63233184814453,,903d185fccf839df
1495632091212,96.9841079711914,,903d185fccf839df
1495632091229,97.3121109008789,,903d185fccf839df
1495632091250,97.8088150024414,,903d185fccf839df
1495632091274,98.3229751586914,,903d185fccf839df
1495632091279,98.4848861694336,,903d185fccf839df
1495632091291,98.7278823852539,,903d185fccf839df
1495632091300,99.03411865234375,,903d185fccf839df
1495632091311,99.34677124023438,,903d185fccf839df
1495632091340,100.32266998291016,,903d185fccf839df
1495632091369,100.78085327148438,,903d185fccf839df
1495632091390,100.97490692138672,,903d185fccf839df
1495632091417,101.32972717285156,,903d185fccf839df
1495632091422,101.47773742675781,,903d185fccf839df
1495632091443,101.58655548095703,,903d185fccf839df
1495632091481,101.29454040527344,,903d185fccf839df
1495632091519,101.6876449584961,,903d185fccf839df
1495632091541,101.69094848632812,,903d185fccf839df
1495632091565,101.14563751220703,,903d185fccf839df
1495632091590,99.58557891845703,,903d185fccf839df
1495632091612,98.82469177246094,,903d185fccf839df
1495632091620,98.86668395996094,,903d185fccf839df
1495632091670,101.13196563720703,,903d185fccf839df
1495632091680,101.30518341064453,,903d185fccf839df
1495632091710,101.3222427368164,,903d185fccf839df
1495632091811,101.13826751708984,,903d185fccf839df
1495632091820,100.94731903076172,,903d185fccf839df
1495632091850,100.03369903564453,,903d185fccf839df
1495632091900,98.78278350830078,,903d185fccf839df
1495632091921,98.4524154663086,,903d185fccf839df
1495632091955,98.272216796875,,903d185fccf839df
1495632092002,97.9389877319336,,903d185fccf839df
1495632092017,97.77735900878906,,903d185fccf839df
1495632092040,97.14892578125,,903d185fccf839df
1495632092073,96.44020080566406,,903d185fccf839df
1495632092090,96.1635513305664,,903d185fccf839df
1495632092113,96.09334564208984,,903d185fccf839df
1495632092136,96.18426513671875,,903d185fccf839df
1495632092160,96.64404296875,,903d185fccf839df
1495632092182,97.0753173828125,,903d185fccf839df
1495632092221,97.86207580566406,,903d185fccf839df
1495632092243,97.99522399902344,,903d185fccf839df
1495632092270,97.8025894165039,,903d185fccf839df
1495632092290,97.6370849609375,,903d185fccf839df
1495632092305,97.56448364257812,,903d185fccf839df
1495632092321,97.40916442871094,,903d185fccf839df
1495632092340,97.18815612792969,,903d185fccf839df
1495632092382,96.54608917236328,,903d185fccf839df
1495632092390,96.36380767822266,,903d185fccf839df
1495632092431,96.04283905029297,,903d185fccf839df
1495632092450,96.3253402709961,,903d185fccf839df
1495632092470,96.76686096191406,,903d185fccf839df
1495632092490,97.10395050048828,,903d185fccf839df
1495632092511,97.26789093017578,,903d185fccf839df
1495632092520,97.31132507324219,,903d185fccf839df
1495632092555,97.33104705810547,,903d185fccf839df
