UUID, meanHeading, class, timestamp 
903d185fccf839df,46.388053063749936,undefined,1497538116137
903d185fccf839df,63.83013948987781,undefined,1497538117147
903d185fccf839df,80.72627928245647,undefined,1497538118152
903d185fccf839df,97.20682353318145,undefined,1497538119139
903d185fccf839df,105.2256515116088,undefined,1497538120127
903d185fccf839df,103.74419310265272,undefined,1497538121184
903d185fccf839df,103.57349638435572,undefined,1497538122148
903d185fccf839df,105.18640925365506,undefined,1497538123147
903d185fccf839df,107.83410960121049,undefined,1497538124151
903d185fccf839df,109.05820354326467,undefined,1497538125149
903d185fccf839df,106.97870501344869,undefined,1497538126136
903d185fccf839df,104.93626284645276,undefined,1497538127157
903d185fccf839df,106.1676270611362,undefined,1497538128150
903d185fccf839df,108.10437426814796,undefined,1497538129134
903d185fccf839df,109.12906126843998,undefined,1497538130164
903d185fccf839df,115.0689902751018,undefined,1497538131139
903d185fccf839df,121.85742673651616,undefined,1497538132145
903d185fccf839df,125.78832946965667,undefined,1497538133163
903d185fccf839df,127.10082836538783,undefined,1497538134133
903d185fccf839df,131.833799599812,undefined,1497538135135
903d185fccf839df,134.24085380192943,undefined,1497538136158
903d185fccf839df,136.08911664852403,undefined,1497538137141
903d185fccf839df,136.4374161412146,undefined,1497538138138
903d185fccf839df,139.09260270291344,undefined,1497538139158
903d185fccf839df,142.9711720364602,undefined,1497538140158
903d185fccf839df,146.83432518942968,undefined,1497538141138
903d185fccf839df,148.47395018131067,undefined,1497538142155
903d185fccf839df,151.91467895221658,undefined,1497538143144
903d185fccf839df,159.33087437446798,undefined,1497538144150
903d185fccf839df,167.99237414427867,undefined,1497538145149
903d185fccf839df,174.48509896395987,undefined,1497538146133
903d185fccf839df,179.93566594619347,undefined,1497538147140
903d185fccf839df,186.17113803181704,undefined,1497538148156
903d185fccf839df,193.0203423580164,undefined,1497538149143
903d185fccf839df,196.6615785152716,undefined,1497538150150
903d185fccf839df,193.5877434526722,undefined,1497538151154
903d185fccf839df,189.62560516106973,undefined,1497538152148
903d185fccf839df,193.94280049847558,undefined,1497538153141
903d185fccf839df,202.96871298183612,undefined,1497538154161
903d185fccf839df,216.7579871039932,undefined,1497538155127
903d185fccf839df,229.11831066733063,undefined,1497538156124
903d185fccf839df,229.22987351921378,undefined,1497538157154
903d185fccf839df,225.21178698413388,undefined,1497538158135
903d185fccf839df,231.55655020662792,undefined,1497538159143
903d185fccf839df,239.6487537181307,undefined,1497538160143
903d185fccf839df,245.5815805992026,undefined,1497538161139
903d185fccf839df,246.02910342322394,undefined,1497538162134
903d185fccf839df,247.58440595057925,undefined,1497538163149
903d185fccf839df,252.55131907009,undefined,1497538164142
903d185fccf839df,261.7267499780024,undefined,1497538165143
903d185fccf839df,273.5305736863582,undefined,1497538166148
903d185fccf839df,277.70211416918244,undefined,1497538167133
903d185fccf839df,276.6542460247905,undefined,1497538168123
903d185fccf839df,274.17304968458933,undefined,1497538169134
903d185fccf839df,277.80480603930584,undefined,1497538170132
903d185fccf839df,285.2660130295196,undefined,1497538171130
903d185fccf839df,291.5231985736146,undefined,1497538172146
903d185fccf839df,295.7916243668479,undefined,1497538173129
903d185fccf839df,291.783810975656,undefined,1497538174126
903d185fccf839df,286.82326407827,undefined,1497538175147
903d185fccf839df,288.38632360100917,undefined,1497538176131
903d185fccf839df,294.3212206558892,undefined,1497538177131
903d185fccf839df,296.89831646021565,undefined,1497538178160
903d185fccf839df,302.0276750718713,undefined,1497538179130
903d185fccf839df,307.51420789244605,undefined,1497538180137
903d185fccf839df,309.6581511252287,undefined,1497538181151
903d185fccf839df,309.906224739196,undefined,1497538182131
903d185fccf839df,312.29735488096105,undefined,1497538183124
903d185fccf839df,323.86410266241404,undefined,1497538184148
903d185fccf839df,331.0712235803916,undefined,1497538185132
903d185fccf839df,333.9390362267875,undefined,1497538186126
903d185fccf839df,336.33651593090786,undefined,1497538187151
903d185fccf839df,338.9402380581878,undefined,1497538188131
903d185fccf839df,345.41736637733777,undefined,1497538189130
903d185fccf839df,349.086643322577,undefined,1497538190151
903d185fccf839df,353.55647075273976,undefined,1497538191131
903d185fccf839df,356.8217346906352,undefined,1497538192133
903d185fccf839df,364.5876331167265,undefined,1497538193217
903d185fccf839df,10.710650093543544,undefined,1497538194214
903d185fccf839df,18.1101277230999,undefined,1497538195206
903d185fccf839df,28.32942648418971,undefined,1497538196240
903d185fccf839df,35.01162672197572,undefined,1497538197204
903d185fccf839df,33.357837413785795,undefined,1497538198218
903d185fccf839df,29.129993385966767,undefined,1497538199233
903d185fccf839df,33.22448478475993,undefined,1497538200222
903d185fccf839df,41.56886799994073,undefined,1497538201205
903d185fccf839df,50.19208487317931,undefined,1497538202228
903d185fccf839df,54.238174529214355,undefined,1497538203214
903d185fccf839df,57.92992558346902,undefined,1497538204210
903d185fccf839df,65.94988517631937,undefined,1497538205220
903d185fccf839df,73.74896463798048,undefined,1497538206208
903d185fccf839df,75.05762582501389,undefined,1497538207290
903d185fccf839df,77.41991730827014,undefined,1497538208227
903d185fccf839df,82.84599342532594,undefined,1497538209209
903d185fccf839df,88.20515421483891,undefined,1497538210208
903d185fccf839df,90.31179377984728,undefined,1497538211225
903d185fccf839df,93.64545254994441,undefined,1497538212207
903d185fccf839df,96.0060088063089,undefined,1497538213209
903d185fccf839df,100.38075998025145,undefined,1497538214234
903d185fccf839df,105.45003977391431,undefined,1497538215208
903d185fccf839df,114.07350392388331,undefined,1497538216209
903d185fccf839df,118.82689707363697,undefined,1497538217221
903d185fccf839df,120.98506170185081,undefined,1497538218232
903d185fccf839df,131.13575908135533,undefined,1497538219205
903d185fccf839df,155.41804169506358,undefined,1497538220220
903d185fccf839df,178.47774034705935,undefined,1497538221207
903d185fccf839df,187.93113546907432,undefined,1497538222212
903d185fccf839df,166.4322861346673,undefined,1497538223241
903d185fccf839df,127.51749344653611,undefined,1497538224206
903d185fccf839df,114.51973315906025,undefined,1497538225208
903d185fccf839df,126.00026161403136,undefined,1497538226227
903d185fccf839df,128.3319999431297,undefined,1497538227203
903d185fccf839df,112.19953381701741,undefined,1497538228212
903d185fccf839df,119.25560139379661,undefined,1497538229219
903d185fccf839df,139.07955641729296,undefined,1497538230209
903d185fccf839df,147.60383148303913,undefined,1497538231204
903d185fccf839df,141.67131482978186,undefined,1497538232224
903d185fccf839df,136.07187069454272,undefined,1497538233210
903d185fccf839df,137.1335448633039,undefined,1497538234209
903d185fccf839df,141.77406164541026,undefined,1497538235214
903d185fccf839df,143.52334685971144,undefined,1497538236209
903d185fccf839df,143.72982504472455,undefined,1497538237207
903d185fccf839df,151.72591389733495,undefined,1497538238240
903d185fccf839df,158.94871023870888,undefined,1497538239213
903d185fccf839df,162.99631877041443,undefined,1497538240208
903d185fccf839df,160.28822097454656,undefined,1497538241217
903d185fccf839df,161.39555217587798,undefined,1497538242207
903d185fccf839df,163.15245025141382,undefined,1497538243204
