timestamp, signal strength, UUID 
1496069621127,-75,,903d185fccf839df
1496069623924,-75,,903d185fccf839df
1496069624020,-75,,903d185fccf839df
1496069624173,-75,,903d185fccf839df
1496069624231,-75,,903d185fccf839df
1496069624316,-75,,903d185fccf839df
1496069624454,-75,,903d185fccf839df
1496069624541,-75,,903d185fccf839df
1496069624614,-75,,903d185fccf839df
1496069624735,-75,,903d185fccf839df
1496069624813,-75,,903d185fccf839df
1496069624906,-75,,903d185fccf839df
1496069625027,-75,,903d185fccf839df
1496069625105,-75,,903d185fccf839df
1496069625223,-75,,903d185fccf839df
1496069625306,-75,,903d185fccf839df
1496069625405,-75,,903d185fccf839df
1496069625514,-75,,903d185fccf839df
1496069625616,-75,,903d185fccf839df
1496069625706,-75,,903d185fccf839df
1496069625806,-75,,903d185fccf839df
1496069625905,-75,,903d185fccf839df
1496069626022,-75,,903d185fccf839df
1496069626112,-75,,903d185fccf839df
1496069626215,-75,,903d185fccf839df
1496069626304,-75,,903d185fccf839df
1496069626403,-75,,903d185fccf839df
1496069626517,-75,,903d185fccf839df
1496069626604,-75,,903d185fccf839df
1496069626705,-75,,903d185fccf839df
1496069626810,-75,,903d185fccf839df
1496069626903,-75,,903d185fccf839df
1496069627027,-75,,903d185fccf839df
1496069627113,-75,,903d185fccf839df
1496069627209,-75,,903d185fccf839df
1496069627304,-75,,903d185fccf839df
1496069627415,-75,,903d185fccf839df
1496069627505,-75,,903d185fccf839df
1496069627615,-75,,903d185fccf839df
1496069627713,-75,,903d185fccf839df
1496069627810,-75,,903d185fccf839df
1496069627905,-75,,903d185fccf839df
1496069628024,-75,,903d185fccf839df
1496069628110,-75,,903d185fccf839df
1496069628245,-75,,903d185fccf839df
1496069628346,-75,,903d185fccf839df
1496069628409,-75,,903d185fccf839df
1496069628514,-75,,903d185fccf839df
1496069628620,-75,,903d185fccf839df
1496069628707,-75,,903d185fccf839df
1496069628815,-75,,903d185fccf839df
1496069628915,-75,,903d185fccf839df
1496069629021,-75,,903d185fccf839df
1496069629121,-75,,903d185fccf839df
1496069629230,-75,,903d185fccf839df
1496069629312,-75,,903d185fccf839df
1496069629405,-75,,903d185fccf839df
1496069629510,-75,,903d185fccf839df
1496069629610,-75,,903d185fccf839df
1496069629709,-75,,903d185fccf839df
1496069629809,-75,,903d185fccf839df
1496069629916,-75,,903d185fccf839df
1496069630011,-75,,903d185fccf839df
1496069630127,-75,,903d185fccf839df
1496069630210,-75,,903d185fccf839df
1496069630312,-75,,903d185fccf839df
1496069630419,-75,,903d185fccf839df
1496069630518,-75,,903d185fccf839df
1496069630615,-75,,903d185fccf839df
1496069630715,-75,,903d185fccf839df
1496069630813,-75,,903d185fccf839df
1496069630922,-75,,903d185fccf839df
1496069631031,-75,,903d185fccf839df
1496069631120,-75,,903d185fccf839df
1496069631219,-75,,903d185fccf839df
1496069631315,-75,,903d185fccf839df
1496069631404,-75,,903d185fccf839df
1496069631502,-75,,903d185fccf839df
1496069631618,-75,,903d185fccf839df
1496069631709,-75,,903d185fccf839df
1496069631814,-75,,903d185fccf839df
1496069631907,-75,,903d185fccf839df
1496069632016,-75,,903d185fccf839df
1496069632105,-75,,903d185fccf839df
1496069632200,-75,,903d185fccf839df
1496069632307,-75,,903d185fccf839df
1496069632410,-75,,903d185fccf839df
1496069632513,-75,,903d185fccf839df
1496069632613,-75,,903d185fccf839df
1496069632714,-75,,903d185fccf839df
1496069632810,-75,,903d185fccf839df
1496069632911,-75,,903d185fccf839df
1496069633007,-75,,903d185fccf839df
1496069633123,-75,,903d185fccf839df
1496069633212,-75,,903d185fccf839df
1496069633311,-75,,903d185fccf839df
1496069633420,-75,,903d185fccf839df
1496069633512,-75,,903d185fccf839df
1496069633613,-75,,903d185fccf839df
1496069633738,-75,,903d185fccf839df
1496069633807,-75,,903d185fccf839df
1496069633925,-75,,903d185fccf839df
1496069634011,-75,,903d185fccf839df
1496069634112,-75,,903d185fccf839df
1496069634203,-75,,903d185fccf839df
1496069634306,-75,,903d185fccf839df
1496069634404,-75,,903d185fccf839df
1496069634506,-75,,903d185fccf839df
1496069634610,-75,,903d185fccf839df
1496069634705,-75,,903d185fccf839df
1496069634809,-75,,903d185fccf839df
1496069634918,-75,,903d185fccf839df
1496069635007,-75,,903d185fccf839df
1496069635116,-75,,903d185fccf839df
1496069635211,-75,,903d185fccf839df
1496069635311,-75,,903d185fccf839df
1496069635418,-75,,903d185fccf839df
1496069635513,-75,,903d185fccf839df
1496069635611,-75,,903d185fccf839df
1496069635712,-75,,903d185fccf839df
1496069635821,-75,,903d185fccf839df
1496069635910,-75,,903d185fccf839df
1496069636007,-75,,903d185fccf839df
1496069636115,-75,,903d185fccf839df
1496069636212,-75,,903d185fccf839df
1496069636307,-75,,903d185fccf839df
1496069636404,-75,,903d185fccf839df
1496069636508,-75,,903d185fccf839df
1496069636621,-75,,903d185fccf839df
1496069636717,-75,,903d185fccf839df
1496069636818,-75,,903d185fccf839df
1496069636922,-75,,903d185fccf839df
1496069637042,-75,,903d185fccf839df
1496069637116,-75,,903d185fccf839df
1496069637214,-75,,903d185fccf839df
1496069637310,-75,,903d185fccf839df
1496069637415,-75,,903d185fccf839df
1496069637513,-75,,903d185fccf839df
1496069637615,-75,,903d185fccf839df
1496069637713,-75,,903d185fccf839df
1496069637806,-75,,903d185fccf839df
1496069637923,-75,,903d185fccf839df
1496069638009,-75,,903d185fccf839df
1496069638114,-75,,903d185fccf839df
1496069638206,-75,,903d185fccf839df
1496069638306,-75,,903d185fccf839df
1496069638394,-75,,903d185fccf839df
1496069638507,-75,,903d185fccf839df
1496069638612,-75,,903d185fccf839df
1496069638705,-75,,903d185fccf839df
1496069638814,-75,,903d185fccf839df
1496069638929,-75,,903d185fccf839df
1496069639017,-75,,903d185fccf839df
1496069639143,-75,,903d185fccf839df
1496069639214,-75,,903d185fccf839df
1496069639312,-75,,903d185fccf839df
1496069639415,-75,,903d185fccf839df
1496069639514,-75,,903d185fccf839df
1496069639610,-75,,903d185fccf839df
1496069639719,-75,,903d185fccf839df
1496069639805,-75,,903d185fccf839df
1496069639907,-75,,903d185fccf839df
1496069640027,-75,,903d185fccf839df
1496069640146,-75,,903d185fccf839df
1496069640217,-75,,903d185fccf839df
1496069640342,-75,,903d185fccf839df
1496069640419,-75,,903d185fccf839df
1496069640518,-75,,903d185fccf839df
1496069640604,-75,,903d185fccf839df
1496069640712,-75,,903d185fccf839df
1496069640809,-75,,903d185fccf839df
1496069640919,-75,,903d185fccf839df
1496069641014,-75,,903d185fccf839df
1496069641120,-75,,903d185fccf839df
1496069641210,-75,,903d185fccf839df
1496069641315,-75,,903d185fccf839df
1496069641412,-75,,903d185fccf839df
1496069641516,-75,,903d185fccf839df
1496069641610,-75,,903d185fccf839df
1496069641715,-75,,903d185fccf839df
1496069641816,-75,,903d185fccf839df
1496069641905,-75,,903d185fccf839df
1496069642007,-75,,903d185fccf839df
1496069642133,-75,,903d185fccf839df
1496069642215,-75,,903d185fccf839df
1496069642315,-75,,903d185fccf839df
1496069642417,-75,,903d185fccf839df
1496069642505,-75,,903d185fccf839df
1496069642611,-75,,903d185fccf839df
1496069642728,-75,,903d185fccf839df
1496069642813,-75,,903d185fccf839df
1496069642902,-75,,903d185fccf839df
1496069643017,-75,,903d185fccf839df
1496069643113,-75,,903d185fccf839df
1496069643210,-75,,903d185fccf839df
1496069643315,-75,,903d185fccf839df
1496069643414,-75,,903d185fccf839df
1496069643511,-75,,903d185fccf839df
1496069643611,-75,,903d185fccf839df
1496069643709,-75,,903d185fccf839df
1496069643806,-75,,903d185fccf839df
1496069643915,-75,,903d185fccf839df
1496069644014,-75,,903d185fccf839df
1496069644129,-75,,903d185fccf839df
1496069644216,-75,,903d185fccf839df
1496069644307,-75,,903d185fccf839df
1496069644413,-75,,903d185fccf839df
1496069644512,-75,,903d185fccf839df
1496069644605,-75,,903d185fccf839df
1496069644704,-75,,903d185fccf839df
1496069644814,-75,,903d185fccf839df
1496069644915,-75,,903d185fccf839df
1496069645017,-75,,903d185fccf839df
1496069645116,-75,,903d185fccf839df
1496069645205,-75,,903d185fccf839df
1496069645307,-75,,903d185fccf839df
1496069645400,-75,,903d185fccf839df
1496069645516,-75,,903d185fccf839df
1496069645616,-75,,903d185fccf839df
1496069645714,-75,,903d185fccf839df
1496069645807,-75,,903d185fccf839df
1496069645905,-75,,903d185fccf839df
1496069646008,-75,,903d185fccf839df
1496069646130,-75,,903d185fccf839df
1496069646211,-75,,903d185fccf839df
1496069646319,-75,,903d185fccf839df
1496069646409,-75,,903d185fccf839df
1496069646515,-75,,903d185fccf839df
1496069646612,-75,,903d185fccf839df
1496069646768,-75,,903d185fccf839df
1496069646862,-75,,903d185fccf839df
1496069646935,-75,,903d185fccf839df
1496069647022,-75,,903d185fccf839df
1496069647105,-75,,903d185fccf839df
1496069647225,-75,,903d185fccf839df
1496069647312,-75,,903d185fccf839df
1496069647404,-75,,903d185fccf839df
1496069647515,-75,,903d185fccf839df
1496069647609,-75,,903d185fccf839df
1496069647710,-75,,903d185fccf839df
1496069647814,-75,,903d185fccf839df
1496069647902,-75,,903d185fccf839df
1496069648011,-75,,903d185fccf839df
1496069648116,-75,,903d185fccf839df
1496069648207,-75,,903d185fccf839df
1496069648307,-75,,903d185fccf839df
1496069648444,-75,,903d185fccf839df
1496069648559,-75,,903d185fccf839df
1496069648689,-75,,903d185fccf839df
1496069648771,-75,,903d185fccf839df
1496069648822,-75,,903d185fccf839df
1496069648910,-75,,903d185fccf839df
1496069649011,-75,,903d185fccf839df
1496069649111,-75,,903d185fccf839df
1496069649216,-75,,903d185fccf839df
1496069649307,-75,,903d185fccf839df
1496069649403,-75,,903d185fccf839df
1496069649513,-75,,903d185fccf839df
1496069649604,-75,,903d185fccf839df
1496069649723,-75,,903d185fccf839df
1496069649809,-75,,903d185fccf839df
1496069649912,-75,,903d185fccf839df
1496069650012,-75,,903d185fccf839df
1496069650115,-75,,903d185fccf839df
1496069650213,-75,,903d185fccf839df
1496069650315,-75,,903d185fccf839df
1496069650412,-75,,903d185fccf839df
1496069650528,-75,,903d185fccf839df
1496069650605,-75,,903d185fccf839df
1496069650721,-75,,903d185fccf839df
1496069650858,-75,,903d185fccf839df
1496069650919,-75,,903d185fccf839df
1496069651005,-75,,903d185fccf839df
1496069651132,-75,,903d185fccf839df
1496069651237,-75,,903d185fccf839df
1496069651309,-75,,903d185fccf839df
1496069651407,-75,,903d185fccf839df
1496069651510,-75,,903d185fccf839df
1496069651615,-75,,903d185fccf839df
1496069651727,-75,,903d185fccf839df
1496069651816,-75,,903d185fccf839df
1496069651916,-75,,903d185fccf839df
1496069652025,-75,,903d185fccf839df
1496069652115,-75,,903d185fccf839df
1496069652206,-75,,903d185fccf839df
1496069652341,-75,,903d185fccf839df
1496069652409,-75,,903d185fccf839df
1496069652508,-75,,903d185fccf839df
1496069652610,-75,,903d185fccf839df
1496069652712,-75,,903d185fccf839df
1496069652808,-75,,903d185fccf839df
1496069652915,-75,,903d185fccf839df
1496069653011,-75,,903d185fccf839df
1496069653108,-75,,903d185fccf839df
1496069653227,-75,,903d185fccf839df
1496069653313,-75,,903d185fccf839df
1496069653409,-75,,903d185fccf839df
1496069653512,-75,,903d185fccf839df
1496069653614,-75,,903d185fccf839df
1496069653703,-75,,903d185fccf839df
1496069653831,-75,,903d185fccf839df
1496069653920,-75,,903d185fccf839df
1496069654019,-75,,903d185fccf839df
1496069654119,-75,,903d185fccf839df
1496069654213,-75,,903d185fccf839df
1496069654317,-75,,903d185fccf839df
1496069654410,-75,,903d185fccf839df
1496069654514,-75,,903d185fccf839df
1496069654611,-75,,903d185fccf839df
1496069654709,-75,,903d185fccf839df
1496069654814,-75,,903d185fccf839df
1496069654911,-75,,903d185fccf839df
1496069655009,-75,,903d185fccf839df
1496069655108,-75,,903d185fccf839df
1496069655206,-75,,903d185fccf839df
1496069655334,-75,,903d185fccf839df
1496069655410,-75,,903d185fccf839df
1496069655508,-75,,903d185fccf839df
1496069655611,-75,,903d185fccf839df
1496069655713,-75,,903d185fccf839df
1496069655804,-75,,903d185fccf839df
1496069655915,-75,,903d185fccf839df
1496069656019,-75,,903d185fccf839df
1496069656114,-75,,903d185fccf839df
1496069656217,-75,,903d185fccf839df
1496069656306,-75,,903d185fccf839df
1496069656415,-75,,903d185fccf839df
1496069656514,-75,,903d185fccf839df
1496069656610,-75,,903d185fccf839df
1496069656713,-75,,903d185fccf839df
1496069656835,-75,,903d185fccf839df
1496069656908,-75,,903d185fccf839df
1496069657018,-75,,903d185fccf839df
1496069657135,-75,,903d185fccf839df
1496069657217,-75,,903d185fccf839df
1496069657316,-75,,903d185fccf839df
1496069657416,-75,,903d185fccf839df
1496069657510,-75,,903d185fccf839df
1496069657607,-75,,903d185fccf839df
1496069657721,-75,,903d185fccf839df
1496069657815,-75,,903d185fccf839df
