UUID, meanHeading, class, timestamp 
903d185fccf839df,115.1393559611662,undefined,1496336726894
903d185fccf839df,176.82074346216908,undefined,1496336727855
903d185fccf839df,228.57446929384602,undefined,1496336728834
903d185fccf839df,231.1971603585883,undefined,1496336729830
903d185fccf839df,222.03333512257683,undefined,1496336730832
903d185fccf839df,215.9648321660049,undefined,1496336731870
903d185fccf839df,222.1888257923739,undefined,1496336732843
903d185fccf839df,227.56425044942037,undefined,1496336733844
903d185fccf839df,218.76413862064888,undefined,1496336734839
903d185fccf839df,206.78767696291766,undefined,1496336735856
903d185fccf839df,202.19055466438536,undefined,1496336736841
903d185fccf839df,219.72913909442156,undefined,1496336737853
903d185fccf839df,232.5098040100234,undefined,1496336738918
903d185fccf839df,232.86652859780435,undefined,1496336739815
903d185fccf839df,232.069209116416,undefined,1496336740837
903d185fccf839df,230.3103534599304,undefined,1496336741827
903d185fccf839df,236.59583498067286,undefined,1496336742828
903d185fccf839df,236.2527244720558,undefined,1496336743860
903d185fccf839df,239.18838172415298,undefined,1496336744838
903d185fccf839df,229.06733139905825,undefined,1496336745837
903d185fccf839df,225.24731864483223,undefined,1496336746830
903d185fccf839df,175.0755135258864,undefined,1496336747831
903d185fccf839df,162.57365539983397,undefined,1496336748851
903d185fccf839df,174.1574280117892,undefined,1496336749823
903d185fccf839df,174.3870354046719,undefined,1496336750834
903d185fccf839df,191.32527957671434,undefined,1496336751844
903d185fccf839df,210.20543772135122,undefined,1496336752832
903d185fccf839df,216.43666842324447,undefined,1496336753835
903d185fccf839df,225.0699041043037,undefined,1496336754836
903d185fccf839df,225.44656808286604,undefined,1496336755818
903d185fccf839df,227.5723568223665,undefined,1496336756818
903d185fccf839df,226.5219981572948,undefined,1496336757832
903d185fccf839df,231.33196821961175,undefined,1496336758845
903d185fccf839df,221.2407005661238,undefined,1496336759838
903d185fccf839df,222.3913865553655,undefined,1496336761744
903d185fccf839df,222.7412573338603,undefined,1496336762742
903d185fccf839df,223.21316318143974,undefined,1496336763756
903d185fccf839df,223.43077799042882,undefined,1496336764718
903d185fccf839df,223.70739063497865,undefined,1496336765762
903d185fccf839df,223.89095559199154,undefined,1496336766726
903d185fccf839df,223.75266301758205,undefined,1496336767744
903d185fccf839df,223.81291804108648,undefined,1496336768754
903d185fccf839df,223.78540589666716,undefined,1496336769743
903d185fccf839df,223.67196241011266,undefined,1496336770757
903d185fccf839df,223.61338820706922,undefined,1496336771787
903d185fccf839df,223.32667757191805,undefined,1496336772787
903d185fccf839df,223.36140566840604,undefined,1496336773747
903d185fccf839df,223.02553189572936,undefined,1496336774769
903d185fccf839df,222.84017502770865,undefined,1496336775741
903d185fccf839df,223.1409436433266,undefined,1496336776757
903d185fccf839df,223.11204138664758,undefined,1496336777770
903d185fccf839df,223.2196449832245,undefined,1496336778730
903d185fccf839df,223.35274180949094,undefined,1496336779760
903d185fccf839df,223.48830191629696,undefined,1496336780731
903d185fccf839df,223.7606157650807,undefined,1496336781718
903d185fccf839df,225.0002901183207,undefined,1496336781829
903d185fccf839df,249.04700943222656,undefined,1496336782826
903d185fccf839df,267.52120950961285,undefined,1496336783827
903d185fccf839df,275.2291944850785,undefined,1496336784838
903d185fccf839df,277.17837460492467,undefined,1496336785845
903d185fccf839df,259.1332198140963,undefined,1496336786832
903d185fccf839df,258.07901454543725,undefined,1496336787834
903d185fccf839df,267.63289914887133,undefined,1496336788858
903d185fccf839df,279.5968734520311,undefined,1496336789825
903d185fccf839df,283.09180057165435,undefined,1496336790829
903d185fccf839df,285.19774421992463,undefined,1496336791839
903d185fccf839df,286.4837189306987,undefined,1496336792835
903d185fccf839df,286.3373062282195,undefined,1496336793830
903d185fccf839df,289.04831258181645,undefined,1496336794835
903d185fccf839df,291.347445587613,undefined,1496336795829
903d185fccf839df,291.73386278549833,undefined,1496336796824
903d185fccf839df,287.69748416779805,undefined,1496336797848
903d185fccf839df,284.2147159251068,undefined,1496336798833
903d185fccf839df,285.274517427362,undefined,1496336799820
903d185fccf839df,291.6299297815723,undefined,1496336800837
903d185fccf839df,294.6963352669628,undefined,1496336801828
903d185fccf839df,293.1569933999523,undefined,1496336802823
903d185fccf839df,286.84903141017236,undefined,1496336803844
903d185fccf839df,282.55226097630214,undefined,1496336804828
903d185fccf839df,281.48254880684124,undefined,1496336805835
903d185fccf839df,277.31903187010704,undefined,1496336806839
903d185fccf839df,271.70881512005235,undefined,1496336807832
903d185fccf839df,266.0316130730529,undefined,1496336808835
903d185fccf839df,260.7538640211059,undefined,1496336809823
903d185fccf839df,254.63556548827788,undefined,1496336810822
903d185fccf839df,260.94801753858087,undefined,1496336811825
903d185fccf839df,264.1617572075646,undefined,1496336812830
903d185fccf839df,262.7166014282152,undefined,1496336813831
903d185fccf839df,261.3251435484802,undefined,1496336814830
903d185fccf839df,248.69951209442183,undefined,1496336815835
903d185fccf839df,238.73058878952995,undefined,1496336816823
903d185fccf839df,237.3766928576386,undefined,1496336817829
903d185fccf839df,234.27830201158872,undefined,1496336818850
903d185fccf839df,227.0012492476095,undefined,1496336819825
903d185fccf839df,224.8563155954691,undefined,1496336820840
903d185fccf839df,234.729824434596,undefined,1496336821834
903d185fccf839df,239.3412799001199,undefined,1496336822893
903d185fccf839df,248.70411937744365,undefined,1496336823834
903d185fccf839df,260.05631029669763,undefined,1496336824838
903d185fccf839df,263.46898328629504,undefined,1496336825825
903d185fccf839df,259.46676183509453,undefined,1496336826834
903d185fccf839df,256.1892585484177,undefined,1496336827839
903d185fccf839df,265.7482381965844,undefined,1496336828825
903d185fccf839df,268.91723176117716,undefined,1496336829830
903d185fccf839df,236.0686417105391,undefined,1496336830839
903d185fccf839df,173.375809856406,undefined,1496336831833
903d185fccf839df,89.90636239542512,undefined,1496336832827
903d185fccf839df,35.47776472503976,undefined,1496336833829
903d185fccf839df,10.13728746027501,undefined,1496336834839
903d185fccf839df,364.2167597493538,undefined,1496336835822
903d185fccf839df,361.3423724184737,undefined,1496336836842
903d185fccf839df,366.052553206288,undefined,1496336837827
903d185fccf839df,364.64940203517955,undefined,1496336838826
903d185fccf839df,357.16561840555863,undefined,1496336839841
903d185fccf839df,360.128587405896,undefined,1496336840830
903d185fccf839df,14.157131751194001,undefined,1496336841835
903d185fccf839df,25.273470274448034,undefined,1496336842828
903d185fccf839df,27.35242850262904,undefined,1496336843827
903d185fccf839df,32.95162132243065,undefined,1496336844825
903d185fccf839df,34.8562905876691,undefined,1496336845836
903d185fccf839df,30.022751225404086,undefined,1496336846826
903d185fccf839df,18.151457367517448,undefined,1496336847825
903d185fccf839df,361.82597053212686,undefined,1496336848835
903d185fccf839df,347.66153261778595,undefined,1496336849836
903d185fccf839df,335.54919857105557,undefined,1496336850833
903d185fccf839df,327.98663331367857,undefined,1496336851836
903d185fccf839df,321.5749219304089,undefined,1496336852832
903d185fccf839df,320.0827874915602,undefined,1496336853826
903d185fccf839df,341.29216309680885,undefined,1496336854841
903d185fccf839df,365.1441679942868,undefined,1496336855834
903d185fccf839df,21.06494886059975,undefined,1496336856836
903d185fccf839df,140.17772075654122,undefined,1496336857877
903d185fccf839df,190.73685864343892,undefined,1496336858831
903d185fccf839df,169.47360104126395,undefined,1496336859834
903d185fccf839df,119.23773554334949,undefined,1496336860846
903d185fccf839df,96.50961975490499,undefined,1496336861828
