timestamp, gyroscopeX, gyroscopeY, gyroscopeZ, UUID 
1495768475438,-0.5177185535430908,-0.08096009492874146,-0.22583606839179993,,903d185fccf839df
1495768475504,0.04048004746437073,0.09587380290031433,0.5347627401351929,,903d185fccf839df
1495768475560,-0.9097358584403992,-0.3568635880947113,0.46232476830482483,,903d185fccf839df
1495768475569,-0.9022790193557739,-0.3387540876865387,0.44208475947380066,,903d185fccf839df
1495768475672,-0.027696875855326653,-0.6849650740623474,0.47084689140319824,,903d185fccf839df
1495768475753,0.052197959274053574,-0.3579288721084595,0.4026699662208557,,903d185fccf839df
1495768475812,-0.006391586735844612,-0.4026699662208557,-0.030892670154571533,,903d185fccf839df
1495768475910,0.42930158972740173,0.40480050444602966,0.09906959533691406,,903d185fccf839df
1495768476211,-0.5113269090652466,-0.3707120418548584,-0.7137271761894226,,903d185fccf839df
1495768476262,1.3177320957183838,0.4878911077976227,-0.43356263637542725,,903d185fccf839df
1495768476309,0.6785734295845032,0.3142530024051666,-0.1853560209274292,,903d185fccf839df
1495768476353,1.1366372108459473,-0.13315805792808533,-0.33236250281333923,,903d185fccf839df
1495768476387,0.972586452960968,-0.17789916694164276,-0.2087918370962143,,903d185fccf839df
1495768476426,0.8330367803573608,0.16937704384326935,-0.34088462591171265,,903d185fccf839df
1495768476480,0.13635385036468506,-0.15446335077285767,0.24501082301139832,,903d185fccf839df
1495768476500,-0.1949433982372284,-0.3185140788555145,-0.13102753460407257,,903d185fccf839df
1495768476520,-0.2173139452934265,-0.027696875855326653,-0.12357068061828613,,903d185fccf839df
1495768476574,0.2226402759552002,0.09587380290031433,0.0649811327457428,,903d185fccf839df
1495768476626,0.8852347731590271,0.4857605993747711,-0.03302319720387459,,903d185fccf839df
1495768476659,0.18002969026565552,0.6487460732460022,0.22157500684261322,,903d185fccf839df
1495768476678,-0.21518342196941376,0.4037352204322815,0.36432045698165894,,903d185fccf839df
1495768476704,-0.4452805519104004,0.3067961633205414,0.10546118021011353,,903d185fccf839df
1495768476747,-0.5901564955711365,0.1896170675754547,-0.5699164867401123,,903d185fccf839df
1495768476754,-0.5720469951629639,0.21092236042022705,-0.5677859783172607,,903d185fccf839df
1495768476814,-0.1576591432094574,0.1896170675754547,-0.33981937170028687,,903d185fccf839df
1495768476867,-0.7094660997390747,0.8245146870613098,0.9715211987495422,,903d185fccf839df
1495768476902,-1.4242585897445679,0.869255781173706,0.8351673483848572,,903d185fccf839df
1495768477137,-0.10759171098470688,-1.2314456701278687,0.943824291229248,,903d185fccf839df
1495768477204,-0.024501081556081772,-0.5954828262329102,0.6753776669502258,,903d185fccf839df
1495768477307,-0.1022653877735138,0.12889699637889862,-0.15126755833625793,,903d185fccf839df
1495768477363,-0.2407497614622116,0.1757686287164688,-0.7073355913162231,,903d185fccf839df
1495768477378,-0.3707120418548584,0.3238403797149658,-1.0279802083969116,,903d185fccf839df
