1495768475765,34:31:c4:14:dc:37,-78;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-83;,f4:4e:05:7a:4b:70,-83;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-83;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,02:90:7f:b0:98:96,-88;,d4:63:fe:51:12:89,-87;,9c:80:df:2c:b3:9b,-91;,e8:40:f2:50:c0:74,-82;,00:09:4f:82:d5:a1,-85;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-86;,18:ef:63:9b:85:17,-83;,18:ef:63:9b:85:12,-79;,18:ef:63:9b:85:16,-77;,18:ef:63:9b:85:19,-83;,18:ef:63:9b:85:1a,-84;,08:95:2a:e3:85:d3,-90;,18:ef:63:9b:85:13,-78;,18:ef:63:9b:85:14,-80;,18:ef:63:9b:85:15,-83;,e0:28:6d:43:3d:77,-88;,c4:13:e2:3a:aa:14,-88;,c8:0e:14:da:85:60,-89;,5c:49:79:9a:60:25,-90;,18:ef:63:9b:ef:96,-91;,f4:4e:05:7a:4b:72,-84;,,903d185fccf839df
1495768476236,34:31:c4:14:dc:37,-78;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-83;,f4:4e:05:7a:4b:70,-83;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-83;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,02:90:7f:b0:98:96,-88;,d4:63:fe:51:12:89,-87;,9c:80:df:2c:b3:9b,-91;,e8:40:f2:50:c0:74,-82;,00:09:4f:82:d5:a1,-85;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-86;,18:ef:63:9b:85:17,-83;,18:ef:63:9b:85:12,-79;,18:ef:63:9b:85:16,-77;,18:ef:63:9b:85:19,-83;,18:ef:63:9b:85:1a,-84;,08:95:2a:e3:85:d3,-90;,18:ef:63:9b:85:13,-78;,18:ef:63:9b:85:14,-80;,18:ef:63:9b:85:15,-83;,e0:28:6d:43:3d:77,-88;,c4:13:e2:3a:aa:14,-88;,c8:0e:14:da:85:60,-89;,5c:49:79:9a:60:25,-90;,18:ef:63:9b:ef:96,-91;,f4:4e:05:7a:4b:72,-84;,,903d185fccf839df
1495768476308,34:31:c4:14:dc:37,-78;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-83;,f4:4e:05:7a:4b:70,-83;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-83;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,02:90:7f:b0:98:96,-88;,d4:63:fe:51:12:89,-87;,9c:80:df:2c:b3:9b,-91;,e8:40:f2:50:c0:74,-82;,00:09:4f:82:d5:a1,-85;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-86;,18:ef:63:9b:85:17,-83;,18:ef:63:9b:85:12,-79;,18:ef:63:9b:85:16,-77;,18:ef:63:9b:85:19,-83;,18:ef:63:9b:85:1a,-84;,08:95:2a:e3:85:d3,-90;,18:ef:63:9b:85:13,-78;,18:ef:63:9b:85:14,-80;,18:ef:63:9b:85:15,-83;,e0:28:6d:43:3d:77,-88;,c4:13:e2:3a:aa:14,-88;,c8:0e:14:da:85:60,-89;,5c:49:79:9a:60:25,-90;,18:ef:63:9b:ef:96,-91;,f4:4e:05:7a:4b:72,-84;,,903d185fccf839df
1495768476615,34:31:c4:14:dc:37,-76;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-81;,f4:4e:05:7a:4b:70,-83;,f4:4e:05:7a:4b:7e,-84;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-81;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-86;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-87;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-87;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-87;,18:ef:63:9b:9a:8c,-90;,02:90:7f:b0:98:96,-86;,d4:63:fe:51:12:89,-87;,9c:80:df:2c:b3:9b,-89;,e8:40:f2:50:c0:74,-82;,00:09:4f:82:d5:a1,-83;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-84;,18:ef:63:9b:85:17,-83;,18:ef:63:9b:85:12,-77;,18:ef:63:9b:85:16,-77;,18:ef:63:9b:85:19,-81;,18:ef:63:9b:85:1a,-84;,08:95:2a:e3:85:d3,-88;,18:ef:63:9b:85:13,-78;,18:ef:63:9b:85:14,-78;,18:ef:63:9b:85:15,-83;,e0:28:6d:43:3d:77,-86;,c4:13:e2:3a:aa:14,-88;,c8:0e:14:da:85:60,-87;,5c:49:79:9a:60:25,-90;,18:ef:63:9b:ef:96,-89;,f4:4e:05:7a:4b:72,-84;,,903d185fccf839df
1495768476910,34:31:c4:14:dc:37,-76;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-81;,f4:4e:05:7a:4b:70,-83;,f4:4e:05:7a:4b:7e,-84;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-81;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-86;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-87;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-87;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-87;,18:ef:63:9b:9a:8c,-90;,02:90:7f:b0:98:96,-86;,d4:63:fe:51:12:89,-87;,9c:80:df:2c:b3:9b,-89;,e8:40:f2:50:c0:74,-82;,00:09:4f:82:d5:a1,-83;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-84;,18:ef:63:9b:85:17,-83;,18:ef:63:9b:85:12,-77;,18:ef:63:9b:85:16,-77;,18:ef:63:9b:85:19,-81;,18:ef:63:9b:85:1a,-84;,08:95:2a:e3:85:d3,-88;,18:ef:63:9b:85:13,-78;,18:ef:63:9b:85:14,-78;,18:ef:63:9b:85:15,-83;,e0:28:6d:43:3d:77,-86;,c4:13:e2:3a:aa:14,-88;,c8:0e:14:da:85:60,-87;,5c:49:79:9a:60:25,-90;,18:ef:63:9b:ef:96,-89;,f4:4e:05:7a:4b:72,-84;,,903d185fccf839df
1495768477263,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768477506,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768477811,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768478101,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768478400,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768478701,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768478998,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768479302,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768479597,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
1495768479907,34:31:c4:14:dc:37,-86;,34:31:c4:14:dc:38,-87;,18:83:bf:a9:65:f0,-85;,f4:4e:05:7a:4b:70,-82;,f4:4e:05:7a:4b:7e,-86;,f4:4e:05:7a:4b:7f,-87;,08:96:d7:23:d6:b7,-89;,18:ef:63:9b:9a:8a,-88;,18:ef:63:9b:9a:88,-88;,18:ef:63:9b:9a:89,-88;,78:94:b4:16:b5:a6,-89;,18:ef:63:9b:9a:8b,-89;,18:ef:63:9b:9a:86,-89;,18:ef:63:9b:9a:8d,-89;,18:ef:63:9b:9a:85,-89;,18:ef:63:9b:9a:8c,-90;,e8:40:f2:50:c0:74,-89;,00:09:4f:82:d5:a1,-86;,f4:4e:05:7a:4b:7d,-86;,88:f7:c7:dc:9c:75,-88;,08:95:2a:e3:85:d3,-91;,c4:13:e2:3a:aa:14,-87;,34:31:c4:ee:45:53,-78;,08:96:d7:d7:b5:96,-81;,14:d6:4d:31:2d:28,-81;,f4:e3:fb:8d:e9:d7,-85;,38:10:d5:f1:1e:94,-86;,e8:94:f6:52:1e:98,-88;,78:94:b4:16:b5:a4,-88;,f4:e3:fb:8d:e9:d8,-82;,,903d185fccf839df
