1497236289662,ec:08:6b:37:ab:2e,-73;,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-85;,b4:c7:99:eb:77:d0,-85;,34:6f:90:35:f3:e2,-82;,34:6f:90:35:f3:e0,-83;,18:ef:63:9b:5e:e9,-82;,18:ef:63:9b:5e:ea,-84;,18:ef:63:9b:5e:e7,-85;,8e:15:44:60:0e:7a,-90;,88:15:44:60:0e:7a,-90;,c8:d3:ff:7c:b3:b5,-93;,,903d185fccf839df
1497236289960,ec:08:6b:37:ab:2e,-73;,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-85;,b4:c7:99:eb:77:d0,-85;,34:6f:90:35:f3:e2,-82;,34:6f:90:35:f3:e0,-83;,18:ef:63:9b:5e:e9,-82;,18:ef:63:9b:5e:ea,-84;,18:ef:63:9b:5e:e7,-85;,8e:15:44:60:0e:7a,-90;,88:15:44:60:0e:7a,-90;,c8:d3:ff:7c:b3:b5,-93;,,903d185fccf839df
1497236290218,ec:08:6b:37:ab:2e,-73;,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-85;,b4:c7:99:eb:77:d0,-85;,34:6f:90:35:f3:e2,-82;,34:6f:90:35:f3:e0,-83;,18:ef:63:9b:5e:e9,-82;,18:ef:63:9b:5e:ea,-84;,18:ef:63:9b:5e:e7,-85;,8e:15:44:60:0e:7a,-90;,88:15:44:60:0e:7a,-90;,c8:d3:ff:7c:b3:b5,-93;,,903d185fccf839df
1497236290494,ec:08:6b:37:ab:2e,-74;,34:31:c4:14:dc:37,-78;,98:e7:f4:43:c2:00,-86;,b4:c7:99:eb:77:d0,-82;,34:6f:90:35:f3:e2,-83;,34:6f:90:35:f3:e0,-80;,18:ef:63:9b:5e:e9,-83;,18:ef:63:9b:5e:ea,-81;,18:ef:63:9b:5e:e7,-86;,8e:15:44:60:0e:7a,-87;,88:15:44:60:0e:7a,-91;,c8:d3:ff:7c:b3:b5,-90;,,903d185fccf839df
1497236290808,ec:08:6b:37:ab:2e,-74;,34:31:c4:14:dc:37,-78;,98:e7:f4:43:c2:00,-86;,b4:c7:99:eb:77:d0,-82;,34:6f:90:35:f3:e2,-83;,34:6f:90:35:f3:e0,-80;,18:ef:63:9b:5e:e9,-83;,18:ef:63:9b:5e:ea,-81;,18:ef:63:9b:5e:e7,-86;,8e:15:44:60:0e:7a,-87;,88:15:44:60:0e:7a,-91;,c8:d3:ff:7c:b3:b5,-90;,,903d185fccf839df
1497236291115,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236291385,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236291758,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236292100,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236292309,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236292580,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236292927,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236293374,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236293732,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
1497236294026,34:31:c4:14:dc:37,-81;,98:e7:f4:43:c2:00,-84;,b4:c7:99:eb:77:d0,-72;,34:6f:90:35:f3:e0,-79;,18:ef:63:9b:5e:e9,-71;,18:ef:63:9b:5e:ea,-72;,18:ef:63:9b:5e:e7,-72;,8e:15:44:60:0e:7a,-86;,88:15:44:60:0e:7a,-88;,18:ef:63:9b:5e:e6,-68;,18:ef:63:9b:5e:e4,-70;,18:ef:63:9b:5e:e3,-70;,18:ef:63:9b:5e:e2,-71;,34:6f:90:9d:01:70,-84;,f0:29:29:d7:93:c0,-88;,18:ef:63:58:c3:06,-89;,18:ef:63:58:c3:03,-89;,18:ef:63:58:c3:04,-89;,18:ef:63:58:c3:09,-89;,18:ef:63:58:c3:02,-89;,18:83:bf:a9:65:f0,-91;,18:ef:63:9b:9a:82,-91;,18:ef:63:58:c3:0a,-91;,40:55:39:e8:d4:30,-91;,34:6f:90:9d:01:72,-84;,f0:29:29:d7:93:c2,-89;,,903d185fccf839df
